id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
CHUBUT_BIEDMA,"Biedma, Chubut",ALIANZA FRENTE PARA LA VICTORIA,2.73,4.5,1.9,47.19,31.55,0.96,7.95,2.68,0.24,0.3,1123,1850,781,19387,12962,393,3264,1100,98,123,77.21,55398,42773,1.34,0.1,2.52,574,41,1077
CHUBUT_CUSHAMEN,"Cushamen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,1.59,3.8,1.79,53.29,29.76,0.84,6.72,1.74,0.19,0.27,215,513,241,7189,4015,113,907,235,26,37,77.26,17964,13879,1.25,0.01,1.53,173,2,213
CHUBUT_ESCALANTE,"Escalante, Chubut",ALIANZA FRENTE PARA LA VICTORIA,3.52,4.96,1.81,61.13,13.66,1.64,9.48,3.1,0.34,0.35,3286,4634,1688,57078,12751,1528,8855,2897,322,325,78.17,124514,97335,1.44,0.08,2.56,1397,78,2496
CHUBUT_FLORENTINO AMEGHINO,"F. Ameguino, Chubut",ALIANZA FRENTE PARA LA VICTORIA,0.73,0.98,0.49,54.96,32.31,0.37,8.2,1.22,0.49,0.24,6,8,4,449,264,3,67,10,4,2,69.08,1213,838,1.07,0.72,0.72,9,6,6
CHUBUT_FUTALEUFU,"Futaleufu, Chubut",ALIANZA FRENTE PARA LA VICTORIA,1.86,4.11,1.87,44.35,33.07,1.51,10.3,2.32,0.25,0.36,441,974,443,10508,7835,358,2441,550,60,85,76.52,32229,24663,1.34,0.04,2.54,331,10,627
CHUBUT_GAIMAN,"Gaiman, Chubut",ALIANZA FRENTE POPULAR,1.6,2.88,0.93,37.35,38.81,0.42,16.02,1.44,0.3,0.26,100,180,58,2332,2423,26,1000,90,19,16,80.46,8000,6437,1.51,0.05,1.44,97,3,93
CHUBUT_GASTRE,"Gastre, Chubut",ALIANZA FRENTE POPULAR,0.26,0.52,0.65,37.68,49.94,0.65,7.61,1.55,0.52,0.65,2,4,5,292,387,5,59,12,4,5,60.06,1332,800,2,0.38,0.75,16,3,6
CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",ALIANZA FRENTE PARA LA VICTORIA,0.66,0.82,0.16,49.53,37.77,0.33,8.96,1.1,0.27,0.38,12,15,3,901,687,6,163,20,5,7,76.74,2408,1848,0.97,0,0.6,18,0,11
CHUBUT_MARTIRES,"Martires, Chubut",ALIANZA FRENTE POPULAR,0.26,2.04,0.26,23.72,55.36,0,16.07,1.28,0,1.02,1,8,1,93,217,0,63,5,0,4,61.4,645,396,0.25,0,0.76,1,0,3
CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",ALIANZA FRENTE POPULAR,0.8,0.4,0,30.09,57.17,0.2,10.33,0.5,0.1,0.4,8,4,0,300,570,2,103,5,1,4,71.09,1432,1018,1.47,0,0.59,15,0,6
CHUBUT_RAWSON,"Rawson, Chubut",ALIANZA FRENTE PARA LA VICTORIA,2.24,3.24,1.44,46.01,32.65,0.87,10.42,2.49,0.29,0.35,1647,2382,1061,33841,24013,637,7667,1833,213,259,79.98,95256,76184,1.33,0.08,2.04,1017,61,1553
CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",ALIANZA FRENTE PARA LA VICTORIA,1.14,1.3,0.78,48.14,38.01,0.46,7.95,1.6,0.39,0.23,35,40,24,1478,1167,14,244,49,12,7,68.02,4587,3120,0.77,0,0.83,24,0,26
CHUBUT_SARMIENTO,"Sarmiento, Chubut",ALIANZA FRENTE PARA LA VICTORIA,1.83,2.33,0.87,51.35,29.87,1.15,10.02,2.15,0.2,0.23,110,140,52,3081,1792,69,601,129,12,14,74.3,8328,6188,1.07,0.02,1.96,66,1,121
CHUBUT_TEHUELCHES,"Tehuelches, Chubut",ALIANZA FRENTE PARA LA VICTORIA,0.63,1.23,0.42,46.88,37.07,0.18,11.63,1.16,0.49,0.32,18,35,12,1338,1058,5,332,33,14,9,65.24,4453,2905,0.72,0,1.03,21,0,30
CHUBUT_TELSEN,"Telsen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,0.46,0.8,0.34,43.91,35.72,0.23,17.18,0.91,0.11,0.34,4,7,3,386,314,2,151,8,1,3,60.9,1481,902,1.22,0.22,1.11,11,2,10
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.65,11.07,3.64,32.48,24.8,1.47,10.16,6.46,0.13,0.14,12326,14147,4656,41504,31680,1875,12980,8254,171,173,70.77,185778,131478,1.59,0.22,1.02,2086,289,1337
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,13.73,14.23,4.48,30.37,19.59,1.86,10.08,5.21,0.18,0.27,15478,16045,5049,34243,22090,2100,11360,5874,201,303,79.91,145632,116369,1.89,0.04,1.19,2197,44,1385
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,12.41,16.07,4.31,28.32,20.89,1.76,10.09,5.83,0.16,0.16,15974,20688,5549,36452,26896,2263,12990,7506,200,208,79.51,166687,132529,1.62,0.07,1.18,2147,94,1562
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,12.02,15.49,4.47,28.29,21.35,1.77,10.02,6.3,0.14,0.16,16213,20892,6030,38155,28799,2385,13513,8493,190,220,80.22,172984,138763,1.59,0.07,1.13,2207,101,1565
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE POPULAR,9.43,17.51,3.58,20.56,27.93,1.49,10.84,8.43,0.12,0.11,14757,27401,5602,32172,43709,2334,16954,13193,182,166,76.78,208929,160406,1.52,0.03,0.91,2436,47,1453
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE POPULAR,8.47,16.66,3.57,22.27,27.86,1.43,10.61,8.89,0.11,0.13,12804,25171,5398,33647,42104,2166,16034,13431,160,204,75.78,204174,154719,1.37,0.05,0.91,2124,73,1403
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,11.25,15.92,4.92,32.41,18.11,1.8,9.85,5.41,0.16,0.18,13618,19268,5959,39240,21920,2182,11921,6548,191,216,77.06,161947,124803,1.64,0.05,1.3,2052,62,1626
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE POPULAR,7.91,14.74,2.86,18.01,32.18,1.15,11.82,11.08,0.1,0.15,8447,15736,3058,19226,34360,1228,12618,11829,110,157,73.17,149091,109089,1.3,0.03,0.8,1422,29,869
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,10.63,12.88,4.54,34.01,19.72,1.85,10.69,5.25,0.14,0.31,12455,15093,5321,39863,23111,2168,12529,6149,168,365,72.39,167025,120904,1.74,0.05,1.26,2099,64,1519
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,11.46,10.3,4.01,39.85,18.63,1.59,9.49,4.2,0.21,0.27,15024,13504,5254,52236,24421,2081,12439,5504,275,356,77.15,175190,135161,1.77,0.06,1.18,2395,82,1590
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,10.33,15.78,4.77,32.27,18.81,1.77,10.2,5.76,0.14,0.16,11947,18242,5513,37315,21753,2050,11794,6662,164,190,77.68,152903,118771,1.51,0.04,1.1,1794,43,1304
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,10.06,18.46,4.71,26.15,21,1.73,10.89,6.7,0.14,0.15,11868,21782,5559,30858,24781,2047,12850,7911,170,173,78.98,153077,120903,1.34,0.05,1.01,1626,59,1219
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,11.95,13.93,4.17,31.98,19.91,1.71,10.39,5.3,0.19,0.47,15359,17905,5355,41110,25585,2192,13355,6815,250,607,77.94,169698,132271,1.57,0.09,1.16,2081,122,1535
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,14.1,7.17,3.38,44.19,18.77,1.31,7.11,3.4,0.19,0.4,14259,7248,3416,44700,18986,1323,7194,3436,188,406,78.56,133174,104616,1.97,0.07,1.27,2057,75,1328
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,14.46,11.21,4.03,35.37,19.86,1.73,8.6,4.41,0.17,0.17,16364,12681,4558,40026,22477,1954,9727,4989,194,188,80.38,144877,116445,1.69,0.07,1.07,1967,78,1242
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,19.21,10.63,2.14,35.05,12.09,0.54,17.47,2.54,0.15,0.19,5530,3058,616,10086,3480,154,5028,730,42,56,77.3,39943,30877,2.17,3.3,1.33,669,1018,410
CORDOBA_CAPITAL,"Capital, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,11.72,19.68,6.06,31.12,10.09,0.94,16.19,3.57,0.25,0.38,81012,136058,41882,215150,69732,6475,111925,24688,1751,2661,73.89,990289,731731,2.26,1.58,1.68,16537,11588,12272
CORDOBA_COLON,"Colon, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,14.34,17.22,4.26,34.58,10.18,0.78,15.03,3.06,0.18,0.38,16391,19692,4872,39537,11639,890,17188,3498,203,431,73.35,164492,120657,2.47,1.3,1.46,2986,1565,1765
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,8.43,5.8,1.4,55.8,7.02,0.35,19.42,1.48,0.17,0.12,2133,1468,354,14111,1776,89,4910,375,42,31,64.53,40243,25968,1.84,0.03,0.75,478,7,194
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,23.46,4.96,0.72,30.97,15.24,0.24,22.33,1.87,0.1,0.11,4377,925,135,5777,2843,44,4166,349,19,21,74.54,26290,19597,1.77,2.45,0.58,346,481,114
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,10.93,10.74,1.93,42.54,11.82,0.78,17.89,2.83,0.2,0.33,7960,7824,1407,30984,8606,571,13027,2060,145,243,76.92,97958,75349,1.83,0.39,1.13,1377,293,852
CORDOBA_ISCHILIN,"Ischilin, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,12.75,8.9,1.41,51.4,5.43,0.71,17.25,1.77,0.21,0.17,2026,1414,224,8164,862,113,2740,281,33,27,67.83,24335,16506,2.38,0.15,1.24,393,25,204
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,19.11,8.2,1.6,33.21,13.47,0.66,20.46,2.86,0.25,0.18,6614,2838,555,11495,4661,227,7083,991,88,62,77.5,46085,35717,1.96,0.03,1.1,699,12,392
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,14.9,12.45,1.24,31.14,21.4,0.35,15.33,2.89,0.19,0.11,9275,7753,775,19389,13322,218,9542,1798,121,69,78.63,82061,64527,1.7,1.19,0.61,1100,770,395
CORDOBA_MINAS,"Minas, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,9,5.16,0.61,65.88,2.99,0.2,15.1,0.74,0.2,0.12,220,126,15,1610,73,5,369,18,5,3,59.59,4251,2533,2.45,0.04,1.03,62,1,26
CORDOBA_POCHO,"Pocho, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,7.43,5.13,0.7,64.07,6,0.08,15.69,0.62,0.16,0.12,181,125,17,1560,146,2,382,15,4,3,59.57,4197,2500,2.16,0,0.44,54,0,11
CORDOBA_PUNILLA,"Punilla, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,14.27,16.02,3.61,31.97,11.34,0.91,17.83,3.57,0.21,0.27,12921,14509,3273,28954,10272,826,16145,3231,191,244,71.12,135804,96580,3.76,0.79,1.68,3632,761,1621
CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,24.13,8.34,1.59,30.8,14.03,0.6,17.44,2.7,0.19,0.17,33023,11417,2175,42154,19204,823,23873,3697,256,231,74.71,192138,143555,1.95,1.3,1.42,2801,1867,2034
CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,7.78,7.53,1.5,37.07,12.71,0.34,31.23,1.42,0.1,0.31,1952,1890,377,9305,3191,85,7838,357,26,77,75.86,34583,26234,2.64,0.95,0.74,693,249,194
CORDOBA_RIO SECO,"Rio Seco, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,6.25,4.43,0.93,56.64,9.07,0.11,21.45,0.99,0.03,0.09,409,290,61,3705,593,7,1403,65,2,6,62.4,10936,6824,3.3,0.09,0.76,225,6,52
CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,11.22,10.1,2.32,35.56,14.23,0.49,23.33,2.31,0.21,0.24,6717,6047,1392,21294,8521,296,13971,1383,124,141,80.19,79077,63415,2.13,2.4,1.03,1352,1522,655
CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,19.12,6.59,1.94,30.45,16.67,0.38,22.01,2.49,0.16,0.19,3878,1336,394,6176,3381,77,4463,505,33,38,74.7,28242,21097,2.76,0.02,1.09,582,4,230
CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,15.89,5.97,1.96,48.36,5.56,0.36,20.09,1.47,0.21,0.13,3089,1160,380,9398,1081,69,3905,285,41,26,72.56,27616,20037,2.07,0.02,0.91,415,5,183
CORDOBA_SAN JAVIER,"San Javier, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,13.9,6.18,1.63,56.48,5.72,0.42,13.74,1.73,0.11,0.09,3751,1667,441,15242,1544,112,3707,468,30,24,73.48,38378,28200,1.59,1.88,0.83,449,530,235
CORDOBA_SAN JUSTO,"San Justo, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,11.22,14.34,1.53,34.08,15.93,0.45,19.64,2.39,0.22,0.2,13251,16934,1811,40250,18813,535,23193,2828,254,242,76.49,161216,123308,1.79,1.25,1.18,2203,1544,1450
CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,15.85,13.68,3.73,34.95,10.09,0.76,17.76,2.64,0.23,0.31,8025,6928,1888,17694,5110,387,8990,1335,118,157,75.34,70401,53042,2.89,0.16,1.5,1531,86,793
CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,2.78,4.25,0.42,54.65,3.24,0.25,33.66,0.63,0.13,0,66,101,10,1299,77,6,800,15,3,0,76.03,3680,2798,3.04,11.29,0.71,85,316,20
CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,15.97,12.43,2.52,32.14,14.08,0.66,19.19,2.62,0.21,0.17,10577,8231,1669,21278,9324,434,12708,1736,141,113,78.04,89385,69755,2.46,1.55,1.08,1713,1080,751
CORDOBA_TOTORAL,"Totoral, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,10.92,6.98,1.05,42.08,13.46,0.16,22.81,2.14,0.28,0.13,1053,673,101,4057,1298,15,2199,206,27,13,74.66,13699,10227,2.07,2.79,0.86,212,285,88
CORDOBA_TULUMBA,"Tulumba, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,5.12,7.09,0.57,63.45,5.48,0.26,16.55,1.22,0.15,0.11,371,513,41,4594,397,19,1198,88,11,8,71.74,10856,7788,1.46,4.73,0.85,114,368,66
CORDOBA_UNION,"Union, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,12.67,10,1.18,35.59,17.77,0.39,19.51,2.6,0.19,0.11,7821,6172,729,21972,10969,240,12045,1607,119,67,77.92,82741,64471,1.71,1.79,0.74,1104,1152,474
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.69,2.27,0.7,69.21,7.45,0.18,14.6,2.49,0.15,0.27,504,424,131,12954,1394,33,2733,466,29,50,75.47,25307,19099,1.45,0.07,0.47,277,14,90
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.36,0.64,0.43,76.75,4.78,0.43,14.98,0.21,0.29,0.14,19,9,6,1076,67,6,210,3,4,2,70.45,2000,1409,0.21,0,0.28,3,0,4
CORRIENTES_CAPITAL,"Capital, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,4.89,4.58,0.98,59.07,10.19,0.44,12.58,6.7,0.23,0.34,9103,8529,1825,109977,18967,824,23428,12471,436,631,79.72,243717,194303,1.98,0.39,1.8,3856,765,3491
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.15,1.3,0.27,72.92,7.22,0.2,15.85,0.81,0.11,0.18,115,130,27,7313,724,20,1590,81,11,18,75.69,13964,10570,4.19,0.21,0.72,443,22,76
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.72,2.53,0.65,63.97,13.96,0.29,12.44,3.06,0.13,0.25,627,583,149,14735,3216,66,2865,706,31,58,73.25,32392,23727,1.3,0.7,0.91,309,166,216
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.08,2.12,0.84,66.1,11.58,0.29,13.18,3.44,0.14,0.23,163,166,66,5176,907,23,1032,269,11,18,72.91,11314,8249,0.82,3.24,1.01,68,267,83
CORRIENTES_ESQUINA,"Esquina, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.35,2.87,0.56,62.27,10.14,0.18,19.72,1.46,0.12,0.31,358,438,85,9493,1546,28,3006,223,19,48,65.69,24154,15866,2.92,0.09,0.91,463,15,144
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.66,1.04,0.32,61.43,6.25,0.12,24.47,1.07,0.1,3.52,67,42,13,2475,252,5,986,43,4,142,68.28,5964,4072,0.52,0,0.54,21,0,22
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.14,1.66,0.44,67.67,8.18,0.28,17.04,2.27,0.14,0.18,180,140,37,5702,689,24,1436,191,12,15,72.3,12185,8810,1.53,1.86,0.96,135,164,85
CORRIENTES_GOYA,"Goya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.33,3.23,0.66,69.43,8.67,0.2,12.14,2.61,0.19,0.54,1086,1506,307,32334,4040,91,5654,1215,89,250,74.79,65993,49357,3.46,1.11,1.07,1708,547,530
CORRIENTES_ITATI,"Itati, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.72,1.67,0.66,70.17,11.21,0.13,12.13,1.99,0.21,0.11,81,79,31,3310,529,6,572,94,10,5,69.7,6947,4842,0.97,0.76,0.85,47,37,41
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,3.11,2.88,0.6,64.21,8.9,0.22,17.97,1.71,0.16,0.25,484,448,93,9999,1386,34,2798,266,25,39,71.38,22339,15946,1.1,0.09,1.15,175,15,184
CORRIENTES_LAVALLE,"Lavalle, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.32,1.22,0.44,69.16,5.79,0.16,20.7,0.89,0.16,0.15,188,173,63,9814,822,22,2938,127,23,21,78.24,19015,14877,4.06,0.11,0.44,604,17,65
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.25,1.14,1.44,72.69,4.99,0.06,17.41,0.79,0.09,0.13,67,61,77,3886,267,3,931,42,5,7,73.38,7433,5454,1.67,0,0.31,91,0,17
CORRIENTES_MERCEDES,"Mercedes, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,3.52,2.48,0.69,56.25,9.2,0.24,22.73,3.4,0.27,1.21,723,509,142,11550,1890,49,4667,699,56,249,72.19,29956,21624,2.79,1.27,0.98,604,275,211
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,3.21,3.57,0.91,58.01,14.46,0.26,16.77,2.33,0.21,0.27,610,677,172,11013,2746,49,3184,442,39,52,74.45,26183,19493,1.57,0.41,0.64,306,79,124
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,3.57,2.9,0.63,65.98,9.49,0.42,14.12,2.28,0.32,0.29,897,728,158,16569,2384,105,3547,572,80,73,73.89,35857,26493,2.07,2.08,1.06,549,550,281
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
CORRIENTES_SALADAS,"Saladas, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.95,1.96,0.44,69.95,11.12,0.17,12.02,2.03,0.16,0.2,207,208,47,7427,1181,18,1276,216,17,21,74.32,14986,11137,1.25,2.49,0.92,139,277,103
CORRIENTES_SAN COSME,"San Cosme, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.45,2.68,0.53,59.95,12.98,0.3,17.8,3.11,0.14,0.06,198,216,43,4836,1047,24,1436,251,11,5,81.58,10675,8709,1.27,5.17,0.93,111,450,81
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.64,1.31,0.29,73.68,6.73,0.11,13.95,1.98,0.11,0.21,171,136,30,7660,700,11,1450,206,11,22,76.14,13992,10654,1.57,0.03,0.82,167,3,87
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.38,1.21,0.44,62.19,9.66,0.16,22.15,2.18,0.36,0.26,84,74,27,3798,590,10,1353,133,22,16,68.26,9206,6284,2.34,0.1,0.38,147,6,24
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,0.97,1.14,0.29,66.76,18.13,0.79,10.55,1.07,0.13,0.17,53,62,16,3634,987,43,574,58,7,9,72.54,7633,5537,1.1,0,0.6,61,0,33
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,1.33,1.37,0.41,71.66,7.29,0.07,16.71,0.86,0.08,0.22,122,126,38,6573,669,6,1533,79,7,20,66.54,14029,9335,1.07,0.05,0.61,100,5,57
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,3.15,2.62,0.63,62.58,12.05,0.33,12.13,5.84,0.18,0.5,843,700,168,16742,3224,88,3244,1561,47,135,73.76,37235,27463,1.49,0.15,0.95,409,42,260
CORRIENTES_SAUCE,"Sauce, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,2.35,1.48,0.54,61.13,11.43,0.13,21.58,0.87,0.2,0.3,108,68,25,2813,526,6,993,40,9,14,68.84,6994,4815,1.66,2.43,0.33,80,117,16
ENTRE RIOS_COLON,"Colon, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,5.72,9.96,1.61,44.32,11.73,0.65,21.63,3.12,0.53,0.73,2038,3552,575,15800,4181,232,7711,1113,190,260,82.54,45531,37582,3.66,0.03,1.44,1376,11,543
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.61,7.01,1.18,62.28,9.73,1.21,10.29,2.83,0.37,0.5,4007,6099,1024,54160,8465,1051,8948,2459,318,433,77.56,118213,91685,3.7,0.06,1.39,3389,54,1278
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.93,14.88,0.97,38.74,14.56,0.46,22.59,1.96,0.47,0.44,1326,4005,260,10428,3918,124,6081,527,127,119,78.8,35994,28363,3.91,0.06,1.13,1110,18,320
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,3.12,5.88,0.85,44.48,12.05,0.83,29.6,2.32,0.32,0.55,1163,2192,318,16578,4490,311,11032,865,120,204,80.96,48520,39283,3.71,0.05,1.35,1458,21,531
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,2.04,3.5,0.73,50.71,5.76,0.27,35.11,1.23,0.27,0.38,293,502,105,7278,826,39,5039,176,39,54,78.65,19127,15043,3.88,0.17,0.55,584,26,82
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,2,3.42,0.81,54.71,14.74,0.35,20.93,1.35,0.53,1.15,158,271,64,4331,1167,28,1657,107,42,91,76.73,10704,8213,2.64,0.12,0.85,217,10,70
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,4.96,9.76,1.31,48.4,16.3,1.06,14.15,2.9,0.52,0.63,1232,2424,325,12020,4049,262,3513,721,130,157,71.29,39590,28222,9.91,1.08,1.02,2796,305,288
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,8.79,12.8,1.72,41.3,16.33,0.77,13.54,3.45,0.58,0.72,5855,8527,1149,27517,10884,515,9025,2297,388,478,83.02,83051,68950,1.85,0.17,1.34,1277,117,921
