id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.08,3.72,36.07,1.5,0.32,46.53,1.01,0.14,0.12,3.5,8305,4368,42299,1763,379,54568,1186,159,141,4106,68.47,178223,122034,3.01,0.06,0.83,3674,76,1010
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,11.13,4.55,35.74,1.3,0.3,41.56,1.31,0.14,0.11,3.86,12605,5148,40478,1477,339,47071,1480,164,120,4367,79.3,149726,118733,3.4,0.08,1.15,4031,91,1362
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,10.82,4.14,32.47,1.17,0.3,45.61,1.18,0.14,0.12,4.04,14253,5461,42788,1546,393,60101,1557,185,156,5329,79.44,173376,137736,3.17,0.05,1.12,4363,63,1541
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,10.16,4.24,31.4,1.11,0.26,47.35,1.21,0.13,0.1,4.05,14814,6180,45793,1621,383,69058,1759,194,148,5902,79.56,191244,152159,3.1,0.04,1,4720,60,1527
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.98,3.36,22.39,1.14,0.19,59.9,1,0.08,0.07,3.89,12963,5457,36370,1848,301,97275,1630,132,108,6321,76.5,220613,168762,2.9,0.03,0.84,4895,52,1410
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,7.28,3.09,23.52,1.17,0.2,60.11,0.96,0.08,0.07,3.52,11017,4675,35605,1777,298,90998,1453,126,112,5334,73.83,212358,156784,2.62,0.04,0.78,4102,65,1222
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,9.37,4.97,38.44,0.88,0.27,41.06,1.34,0.13,0.1,3.43,11488,6094,47133,1074,335,50344,1648,159,125,4203,76.95,167061,128547,3.51,0.06,1.06,4509,77,1358
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,6.54,2.59,19.42,1.82,0.18,64.88,0.83,0.07,0.07,3.59,6604,2620,19615,1841,178,65519,840,68,73,3627,72.65,143559,104294,2.39,0.06,0.72,2493,60,756
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,8.64,4.57,38.5,1.27,0.36,41.51,1.23,0.13,0.17,3.62,9685,5124,43139,1419,402,46502,1380,145,189,4051,72.6,161369,117157,3.23,0.03,1.11,3790,32,1299
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,8.23,4.47,44.63,1.25,0.34,36.41,1.14,0.18,0.15,3.19,10671,5798,57837,1622,443,47191,1473,234,198,4134,75.49,181356,136899,4.24,0.05,1.04,5801,71,1426
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,9.46,4.91,37.45,1.08,0.29,41.47,1.42,0.13,0.14,3.66,11063,5740,43785,1260,341,48489,1657,152,166,4277,76.8,158815,121975,3.12,0.04,0.97,3810,53,1182
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,9.86,4.29,31.5,0.89,0.23,47.76,1.41,0.1,0.08,3.89,12071,5248,38548,1084,279,58450,1721,123,95,4759,78.84,161832,127594,3.11,0.04,0.94,3968,49,1199
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",JUNTOS POR EL CAMBIO,9.97,4.1,37.41,1.13,0.28,41.58,1.28,0.14,0.13,3.98,12772,5247,47901,1444,358,53251,1641,181,164,5099,76.44,175460,134121,3.45,0.08,0.99,4631,107,1325
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,8.14,3.94,50.8,1.39,0.35,31.23,0.83,0.22,0.19,2.91,8297,4018,51803,1421,354,31848,847,224,193,2964,75.5,141876,107120,3.54,0.11,1.16,3792,113,1246
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",FRENTE DE TODOS,10.76,4.1,40.18,1.25,0.35,38.12,1.07,0.14,0.12,3.91,11999,4568,44797,1395,389,42504,1198,160,138,4355,78.46,148655,116632,3.27,0.05,1.07,3818,58,1253
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",JUNTOS POR EL CAMBIO,8.06,2.77,35.8,2.7,0.18,46.64,0.98,0.33,0.17,2.39,2964,1018,13170,992,67,17159,360,122,61,878,71.83,54506,39152,3.93,0.07,2.04,1537,27,797
CORDOBA_CAPITAL,"Capital, Cordoba",JUNTOS POR EL CAMBIO,8.01,3.67,27.19,3.73,0.24,52.52,0.98,0.45,0.16,3.05,60673,27830,205973,28248,1855,397916,7437,3381,1218,23085,72.05,1117481,805107,3.79,0.11,2,30509,893,16089
CORDOBA_COLON,"Colon, Cordoba",JUNTOS POR EL CAMBIO,7.42,2.9,28.35,2.67,0.2,54.27,0.88,0.36,0.16,2.79,11755,4601,44929,4228,313,86006,1396,576,255,4421,72.6,231197,167852,3.56,0.07,1.96,5970,118,3284
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",FRENTE DE TODOS,5.96,1.76,54.64,2.68,0.19,32.7,0.55,0.28,0.13,1.12,1859,548,17057,837,60,10208,171,88,40,349,64.97,50209,32623,2.72,0.13,1.46,886,44,476
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",JUNTOS POR EL CAMBIO,7.02,1.32,38.01,1.52,0.2,49.12,0.55,0.32,0.16,1.79,1327,250,7187,287,37,9289,104,60,30,339,68.82,28800,19820,3.4,0.02,1.18,674,3,233
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",JUNTOS POR EL CAMBIO,8.24,2.25,38.65,3.4,0.17,43.28,0.79,0.29,0.14,2.79,6575,1800,30859,2716,136,34557,627,230,108,2228,71.92,116090,83488,2.78,0.13,1.47,2319,106,1227
CORDOBA_ISCHILIN,"Ischilin, Cordoba",FRENTE DE TODOS,7.01,1.61,45.04,2.32,0.18,41.17,0.55,0.44,0.12,1.56,1314,302,8446,436,34,7720,103,82,23,293,69.66,28434,19807,3.9,0.1,1.32,773,19,262
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",JUNTOS POR EL CAMBIO,8.19,2.05,35.67,2.64,0.14,47.49,0.86,0.35,0.15,2.46,3000,752,13075,969,50,17405,317,127,55,902,72.73,53540,38941,4.17,0.02,1.69,1624,6,659
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",JUNTOS POR EL CAMBIO,8.87,1.66,32.78,2.05,0.13,50.77,0.67,0.23,0.13,2.7,5498,1029,20317,1269,80,31463,414,145,83,1675,73.49,88792,65251,4.07,0.04,0.91,2655,26,597
CORDOBA_MINAS,"Minas, Cordoba",FRENTE DE TODOS,5.44,0.8,65.03,1.2,0,26.16,0.5,0.37,0.03,0.47,163,24,1949,36,0,784,15,11,1,14,61.79,5077,3137,2.9,0.03,1.53,91,1,48
CORDOBA_POCHO,"Pocho, Cordoba",FRENTE DE TODOS,5.03,1.39,50.24,3.52,0.04,37.89,0.51,0.28,0.12,0.99,127,35,1269,89,1,957,13,7,3,25,56.66,4815,2728,6.67,0.15,0.59,182,4,16
CORDOBA_PUNILLA,"Punilla, Cordoba",JUNTOS POR EL CAMBIO,8.25,3.08,30.62,3.03,0.27,50.2,0.96,0.41,0.15,3.02,9494,3540,35241,3491,305,57770,1110,476,172,3476,70.14,173024,121360,3.16,0.03,1.99,3830,41,2414
CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",JUNTOS POR EL CAMBIO,11.12,2.11,33.88,2.4,0.18,46.57,0.7,0.29,0.15,2.61,16391,3108,49933,3541,264,68625,1028,425,217,3841,72.62,215674,156612,3.66,0.05,2.19,5730,79,3430
CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",JUNTOS POR EL CAMBIO,6.74,1.61,31.39,1.89,0.2,55.44,0.59,0.31,0.13,1.71,1910,456,8897,535,56,15713,166,88,36,484,72.46,41538,30097,4.53,0.04,1.26,1363,13,380
CORDOBA_RIO SECO,"Rio Seco, Cordoba",FRENTE DE TODOS,5.93,2.11,50.28,1.15,0.05,38.83,0.35,0.3,0.16,0.84,459,163,3889,89,4,3003,27,23,12,65,63.19,13096,8276,5.18,0.04,1.33,429,3,110
CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",JUNTOS POR EL CAMBIO,7.73,1.89,30.98,2.54,0.18,52.71,0.76,0.33,0.18,2.69,4988,1222,19986,1636,116,34006,490,215,117,1735,74.68,91744,68510,4.22,0.05,1.56,2893,34,1072
CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",JUNTOS POR EL CAMBIO,7.92,2.02,35,1.37,0.19,49.99,0.76,0.32,0.16,2.27,1659,424,7332,286,39,10471,160,68,33,476,71.38,30965,22103,4.03,0.02,1.18,891,4,260
CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",FRENTE DE TODOS,8.05,3.2,45.58,3.05,0.28,36.89,0.75,0.41,0.13,1.67,1798,715,10180,682,62,8239,167,91,28,374,67.83,35307,23948,4.45,0.15,2.13,1066,36,510
CORDOBA_SAN JAVIER,"San Javier, Cordoba",FRENTE DE TODOS,7.2,2.43,49.4,2.64,0.18,35.55,0.69,0.21,0.11,1.58,2331,786,15990,856,59,11506,224,69,35,512,69.5,49784,34599,4.87,0.02,1.56,1684,6,541
CORDOBA_SAN JUSTO,"San Justo, Cordoba",JUNTOS POR EL CAMBIO,9.08,1.77,31.79,2.07,0.16,51.28,0.66,0.24,0.13,2.8,11451,2232,40078,2614,198,64643,836,308,159,3533,72.8,183438,133540,3.89,0.08,1.64,5191,109,2188
CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",JUNTOS POR EL CAMBIO,8.26,2.58,30.19,2.24,0.22,52.51,0.93,0.37,0.18,2.54,5550,1732,20296,1503,145,35301,624,246,119,1710,73.44,98363,72242,4.99,0.06,1.89,3608,43,1365
CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",FRENTE DE TODOS,3.89,0.57,57.75,0.73,0.12,36.06,0.36,0.2,0.04,0.28,96,14,1427,18,3,891,9,5,1,7,62.71,4248,2664,5.93,0.04,1.28,158,1,34
CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",JUNTOS POR EL CAMBIO,9.56,2.32,30.77,2.79,0.22,50.26,0.89,0.38,0.16,2.63,6654,1616,21410,1942,156,34970,622,262,113,1830,73.79,99496,73417,3.68,0.02,1.53,2704,18,1120
CORDOBA_TOTORAL,"Totoral, Cordoba",JUNTOS POR EL CAMBIO,6.3,1.28,34.62,1.43,0.23,53.35,0.54,0.35,0.17,1.73,740,150,4067,168,27,6266,64,41,20,203,71.57,17313,12391,3.48,0.11,1.61,431,14,200
CORDOBA_TULUMBA,"Tulumba, Cordoba",FRENTE DE TODOS,4.67,1.21,49.3,1.58,0.08,41.47,0.52,0.26,0.07,0.84,340,88,3589,115,6,3019,38,19,5,61,62.32,12297,7663,3.72,0.05,1.23,285,4,94
CORDOBA_UNION,"Union, Cordoba",JUNTOS POR EL CAMBIO,7.8,1.66,36.78,2.29,0.15,48.13,0.72,0.27,0.12,2.07,4931,1047,23258,1450,96,30431,456,173,79,1311,70.16,94677,66422,3.57,0.02,1.21,2368,16,806
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",FRENTE DE TODOS,4.07,1.2,60.52,2.04,0.15,29.87,0.4,0.11,0.43,1.2,937,276,13927,469,35,6874,93,26,100,276,73.61,31878,23466,0.96,0.15,0.82,226,35,192
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",FRENTE DE TODOS,1.43,0.57,60.92,1.32,0,34.21,0.06,0.23,0.92,0.34,25,10,1063,23,0,597,1,4,16,6,72.29,2461,1779,0.62,0.11,1.18,11,2,21
CORRIENTES_CAPITAL,"Capital, Corrientes",FRENTE DE TODOS,6.81,1.71,41.28,5.33,0.26,40.12,0.61,0.22,1.3,2.36,14516,3643,88005,11363,558,85540,1302,469,2768,5028,73.55,301200,221534,1.59,0.2,1.97,3520,447,4375
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",FRENTE DE TODOS,2.8,0.51,69.01,2.49,0.1,23.04,0.4,0.19,0.79,0.67,349,64,8595,310,12,2869,50,24,98,83,72.08,17564,12660,0.62,0.02,1,78,2,126
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",FRENTE DE TODOS,4.85,0.94,58.09,2.63,0.15,31.06,0.5,0.17,0.43,1.17,1290,250,15437,700,41,8255,134,44,114,311,70.81,38396,27189,1.07,0.02,1.16,292,6,315
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",FRENTE DE TODOS,5.43,1.11,60.05,1.88,0.1,29.56,0.3,0.09,0.6,0.88,526,107,5814,182,10,2862,29,9,58,85,72.04,13710,9876,0.77,0.06,1.13,76,6,112
CORRIENTES_ESQUINA,"Esquina, Corrientes",FRENTE DE TODOS,4.18,0.84,62.27,3.06,0.13,27.87,0.26,0.11,0.4,0.89,791,160,11794,579,24,5278,50,20,75,168,63.99,30155,19295,0.73,0.07,1.04,141,14,201
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",FRENTE DE TODOS,2.34,0.3,60.34,1.9,0.17,32.86,0.22,0.09,0.61,1.17,108,14,2789,88,8,1519,10,4,28,54,66.86,7051,4714,0.95,0.11,0.89,45,5,42
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",FRENTE DE TODOS,3.82,0.78,58.18,1.68,0.09,33.06,0.34,0.12,1,0.94,359,73,5465,158,8,3106,32,11,94,88,68.16,14049,9576,1.09,0.03,0.78,104,3,75
CORRIENTES_GOYA,"Goya, Corrientes",FRENTE DE TODOS,4.76,0.92,60.56,1.77,0.14,29.82,0.4,0.11,0.42,1.12,2496,480,31742,926,73,15628,210,58,218,585,69.87,76789,53651,1.22,0.08,1,656,44,535
CORRIENTES_ITATI,"Itati, Corrientes",FRENTE DE TODOS,2.94,0.46,59.64,1.17,0.07,33.88,0.24,0.08,0.73,0.79,174,27,3526,69,4,2003,14,5,43,47,65.05,9251,6018,0.65,0.6,0.52,39,36,31
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",FRENTE DE TODOS,3.96,0.76,54.99,3.37,0.17,34.72,0.36,0.11,0.2,1.35,846,163,11743,719,37,7415,76,24,43,288,70.03,31257,21889,1.09,0.15,1.21,238,33,264
CORRIENTES_LAVALLE,"Lavalle, Corrientes",FRENTE DE TODOS,3.16,0.45,69.34,1.23,0.1,24.37,0.22,0.1,0.45,0.57,610,87,13405,238,20,4712,43,19,87,111,75.53,26112,19723,1.2,0.03,0.76,236,5,150
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",FRENTE DE TODOS,2.52,0.39,67.15,2.03,0.05,25.65,0.26,0.05,1.29,0.62,162,25,4325,131,3,1652,17,3,83,40,73.74,8960,6607,1.89,0.05,0.58,125,3,38
CORRIENTES_MERCEDES,"Mercedes, Corrientes",FRENTE DE TODOS,3.75,1.01,57.48,2.09,0.18,33.28,0.41,0.13,0.54,1.14,961,258,14718,534,47,8521,105,33,137,291,71.55,36687,26249,1.35,0.12,0.98,354,32,258
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",FRENTE DE TODOS,5.51,1.09,54.94,2.59,0.15,33.58,0.44,0.14,0.26,1.31,1204,239,12013,566,33,7342,96,30,56,286,71.64,31075,22261,1.15,0.02,0.61,256,4,136
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",FRENTE DE TODOS,3.66,0.74,61.19,4.02,0.16,28.04,0.34,0.11,0.42,1.34,1144,230,19135,1257,49,8768,107,33,130,418,71.76,44447,31896,0.91,0.02,1.03,290,7,328
CORRIENTES_SALADAS,"Saladas, Corrientes",FRENTE DE TODOS,4.09,0.69,66.04,2.07,0.11,25.21,0.32,0.12,0.32,1.03,557,94,8984,281,15,3429,43,17,43,140,72.2,19222,13878,0.91,0,1.07,126,0,149
CORRIENTES_SAN COSME,"San Cosme, Corrientes",FRENTE DE TODOS,4.33,0.81,44.43,2.69,0.23,43.94,0.47,0.09,0.94,2.06,522,98,5361,325,28,5302,57,11,114,249,71.45,17293,12355,1.03,0.07,1.23,127,9,152
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",FRENTE DE TODOS,4.19,0.79,62.69,2.33,0.13,27.06,0.46,0.12,1.21,1.02,539,101,8056,300,17,3477,59,15,155,131,77.94,16904,13175,1.22,0.21,1.03,161,28,136
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",FRENTE DE TODOS,2.37,0.5,58.03,1.97,0.13,35.11,0.33,0.08,0.9,0.58,180,38,4400,149,10,2662,25,6,68,44,66.65,11579,7717,1.28,0.05,0.41,99,4,32
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",FRENTE DE TODOS,2.01,0.59,75.05,2.17,0.07,18.38,0.33,0.09,0.48,0.84,139,41,5197,150,5,1273,23,6,33,58,74.89,9458,7083,0.97,0.28,0.97,69,20,69
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",FRENTE DE TODOS,2.33,0.49,71.69,0.8,0.05,23.08,0.28,0.07,0.81,0.4,284,60,8739,97,6,2814,34,8,99,49,72.64,17032,12372,0.68,0.03,0.76,84,4,94
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",FRENTE DE TODOS,4.42,0.92,55.63,5.14,0.16,31.62,0.43,0.13,0.23,1.32,1611,335,20293,1875,58,11534,158,49,84,481,72.36,51679,37396,1.08,0.06,1.32,403,23,492
CORRIENTES_SAUCE,"Sauce, Corrientes",FRENTE DE TODOS,2.89,0.66,63.57,1.06,0.13,30.51,0.35,0.13,0.24,0.46,158,36,3473,58,7,1667,19,7,13,25,70.55,7922,5589,1.09,0.14,1.02,61,8,57
ENTRE RIOS_COLON,"Colon, Entre Rios",FRENTE DE TODOS,9.66,2.4,44.46,2.41,0.26,36.98,1.03,0.25,0.14,2.4,4050,1007,18634,1010,110,15496,431,106,59,1005,75.98,56907,43236,1.88,0.02,1.17,812,10,506
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",FRENTE DE TODOS,6.38,1.83,54.4,2.63,0.21,31.68,0.64,0.18,0.1,1.94,6630,1902,56570,2739,221,32944,668,188,108,2022,75.08,142206,106762,1.39,0.07,1.13,1487,76,1207
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",JUNTOS POR EL CAMBIO,9.41,1.63,38.68,2.08,0.3,43.7,0.78,0.32,0.16,2.94,2780,480,11422,614,90,12905,229,95,46,867,72.66,41925,30463,1.79,0.09,1.19,544,27,364
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",FRENTE DE TODOS,6.74,1.31,45.97,3.68,0.24,38.46,0.64,0.24,0.17,2.52,3019,588,20579,1649,109,17218,286,109,76,1130,76.06,61019,46410,2.26,0.1,1.19,1047,48,552
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",FRENTE DE TODOS,3.83,0.74,61.52,1.88,0.18,30.11,0.37,0.19,0.09,1.09,669,129,10749,328,31,5260,65,34,15,191,76.58,23700,18150,2.9,0.08,0.76,526,15,138
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",FRENTE DE TODOS,3.89,0.88,62.56,0.96,0.2,30.18,0.4,0.26,0.15,0.51,361,82,5800,89,19,2798,37,24,14,47,72.85,13134,9568,2.07,0.04,0.99,198,4,95
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",FRENTE DE TODOS,8.23,1.88,42.47,2.56,0.33,41.03,0.82,0.26,0.32,2.13,2624,599,13546,815,105,13087,261,82,101,678,70.65,46471,32831,1.77,0.05,1.03,581,15,337
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",FRENTE DE TODOS,9.4,2.28,41.66,2.42,0.27,40.24,0.83,0.21,0.16,2.53,7071,1712,31351,1821,205,30281,628,159,120,1904,78.43,98667,77389,1.64,0.04,1.08,1269,29,839
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",FRENTE DE TODOS,5.18,0.94,59.06,2.45,0.18,30.04,0.59,0.23,0.21,1.11,410,74,4671,194,14,2376,47,18,17,88,69.51,11701,8133,1.82,0,0.93,148,0,76
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",FRENTE DE TODOS,5.71,0.93,58.68,2.41,0.26,29.65,0.5,0.21,0.15,1.5,2376,387,24405,1003,107,12330,208,88,63,623,72.03,59198,42642,1.48,0.03,0.95,631,14,407
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",FRENTE DE TODOS,10.69,1.68,45.22,1.51,0.25,37.55,0.61,0.25,0.16,2.08,2556,401,10815,361,60,8982,146,60,38,498,72.73,33824,24601,1.98,0.05,0.75,488,12,184
ENTRE RIOS_PARANA,"Parana, Entre Rios",FRENTE DE TODOS,10.98,2.47,41.24,3,0.26,37.28,1.34,0.24,0.15,3.03,24882,5608,93465,6794,600,84498,3048,548,330,6864,76.07,309053,235086,2.13,0.08,1.38,5012,190,3247
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",FRENTE DE TODOS,6.34,1.15,47,2.86,0.19,40.13,0.46,0.23,0.09,1.57,778,141,5771,351,23,4927,56,28,11,193,77.78,16335,12705,2.55,0.02,0.78,324,3,99
ENTRE RIOS_TALA,"Tala, Entre Rios",FRENTE DE TODOS,8.73,1.96,47.19,3.08,0.24,36.03,0.75,0.23,0.07,1.72,1519,341,8208,535,41,6266,131,40,12,300,74.09,24126,17875,1.63,0.08,0.99,291,14,177
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",FRENTE DE TODOS,9.34,2.91,43.18,2.47,0.28,37.84,1,0.34,0.16,2.47,6102,1902,28200,1614,182,24716,652,225,106,1614,76.85,87472,67224,1.64,0.04,1.16,1105,29,777
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",FRENTE DE TODOS,9.8,1.8,42.74,1.06,0.35,40.77,0.95,0.22,0.18,2.13,2208,406,9631,240,79,9187,215,50,41,479,72.7,31908,23196,1.77,0.02,1.06,410,4,246
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",FRENTE DE TODOS,6.8,1.64,49.92,2.42,0.31,35.61,0.88,0.24,0.18,2,1948,471,14307,694,89,10206,251,70,51,572,70.16,42103,29541,1.81,0.05,1.12,534,16,332
FORMOSA_BERMEJO,"Bermejo, Formosa",FRENTE DE TODOS,0.86,0.08,81.21,0.76,0.05,16.7,0.07,0.01,0.03,0.23,66,6,6234,58,4,1282,5,1,2,18,66.33,11696,7758,0.66,0.18,0.22,51,14,17
FORMOSA_FORMOSA,"Formosa, Formosa",FRENTE DE TODOS,5.9,1.29,56.98,2.84,0.32,29.75,0.38,0.16,0.12,2.26,8355,1832,80656,4014,456,42109,538,224,175,3201,73.66,196599,144819,1.11,0.23,0.91,1602,334,1323
FORMOSA_LAISHI,"Laishi, Formosa",FRENTE DE TODOS,2.52,0.44,74.95,1.41,0.11,19.8,0.14,0.06,0.1,0.47,314,55,9338,176,14,2467,17,7,13,58,75.93,16668,12656,0.71,0.28,0.57,90,35,72
FORMOSA_MATACOS,"Matacos, Formosa",FRENTE DE TODOS,1.62,0.34,80.99,1.44,0.09,14.68,0.17,0.05,0.05,0.57,133,28,6636,118,7,1203,14,4,4,47,66.17,12548,8303,0.61,0.14,0.55,51,12,46
FORMOSA_PATIÑO,"Patiño, Formosa",FRENTE DE TODOS,1.69,0.31,74.42,1.77,0.09,20.86,0.22,0.05,0.08,0.51,653,121,28761,685,35,8061,84,19,32,197,65.61,59774,39215,0.84,0.16,0.45,330,62,175
FORMOSA_PILAGAS,"Pilagas, Formosa",FRENTE DE TODOS,1.41,0.14,80.53,1.26,0.03,16.1,0.11,0.08,0.04,0.3,167,16,9519,149,4,1903,13,10,5,35,72.81,16386,11930,0.5,0.08,0.33,60,10,39
FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",FRENTE DE TODOS,2.53,0.48,73.94,1.74,0.11,20.03,0.21,0.1,0.07,0.77,1306,250,38207,900,59,10349,111,53,38,399,71.89,73105,52553,0.87,0.15,0.66,455,80,346
FORMOSA_PIRANE,"Pirane, Formosa",FRENTE DE TODOS,2.11,0.58,68.93,4.14,0.08,23.19,0.21,0.11,0.07,0.59,780,215,25512,1534,28,8583,77,41,25,218,68.97,54620,37673,1.1,0.12,0.53,413,47,200
FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",FRENTE DE TODOS,0.74,0.28,77.04,0.66,0.12,20.78,0.12,0.05,0.07,0.16,56,21,5869,50,9,1583,9,4,5,12,70.94,10829,7682,0.49,0.25,0.09,38,19,7
JUJUY_COCHINOCA,"Cochinoca, Jujuy",FRENTE DE TODOS,9.06,3.97,57.87,7.5,0.32,18.08,0.67,0.31,0.17,2.05,530,232,3386,439,19,1058,39,18,10,120,59.9,10514,6298,4.6,0.3,2.19,290,19,138
JUJUY_EL CARMEN,"El Carmen, Jujuy",FRENTE DE TODOS,10.36,3.12,48.57,6.1,0.25,28.07,0.44,0.3,0.05,2.73,4756,1433,22302,2800,114,12890,200,139,24,1255,64.93,73848,47951,2.9,0.25,1.1,1390,121,527
JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",FRENTE DE TODOS,11.84,3.73,38.27,4.18,0.32,37.09,0.5,0.28,0.1,3.69,15660,4930,50621,5532,421,49056,661,376,131,4878,64.69,217915,140977,4.32,0.16,1.71,6084,223,2404
