id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
CORDOBA_POCHO,"Pocho, Cordoba",Alianza Frente para la Victoria,7.24,9.44,3.64,0.93,59.23,18.8,0.72,171,223,86,22,1399,444,17,57.8,4204,2430,2.55,0,0.25,62,0,6
CORDOBA_PUNILLA,"Punilla, Cordoba",Alianza Frente para la Victoria,12.25,26.22,3.79,2.93,35.01,17.97,1.83,11857,25380,3671,2835,33887,17392,1770,73.33,135751,99552,1.48,0.02,1.28,1470,16,1274
CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",Alianza Frente para la Victoria,22,16.64,5.67,1.96,35.66,16.39,1.67,31299,23679,8064,2793,50735,23318,2376,76.15,190743,145244,0.97,0.02,1.06,1411,30,1539
CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",Alianza Frente para la Victoria,6.59,16.07,4.31,1.53,39.81,30.73,0.96,1648,4019,1079,383,9958,7687,240,74.16,34271,25417,1.08,0,0.5,275,1,127
CORDOBA_RIO SECO,"Rio Seco, Cordoba",Alianza Frente para la Victoria,6.02,8.5,4.33,2.28,58.58,19.63,0.65,361,510,260,137,3515,1178,39,57.56,10624,6115,1.37,0.02,0.49,84,1,30
CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",Alianza Frente para la Victoria,9.03,19.83,5.22,2.36,39,23.26,1.3,5494,12056,3175,1434,23716,14146,788,78.59,79122,62183,1.44,0,0.76,898,1,475
CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",Alianza Frente para la Victoria,18.27,13.71,7.22,1.79,35.65,21.9,1.46,3858,2894,1525,379,7527,4624,309,75.82,28265,21431,0.98,0.03,0.45,211,7,97
CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",Alianza Frente para la Victoria,15.09,11.24,1.99,1.9,47.3,21.67,0.8,3020,2249,399,381,9465,4337,160,76.14,27306,20792,2.89,0.18,0.69,600,37,144
CORDOBA_SAN JAVIER,"San Javier, Cordoba",Alianza Frente para la Victoria,17.06,10.5,2.09,1.6,53,14.73,1.03,4771,2938,584,448,14825,4120,287,74.54,38121,28417,1.04,0.01,0.51,295,4,145
CORDOBA_SAN JUSTO,"San Justo, Cordoba",Alianza Frente para la Victoria,9.52,23.71,6.56,1.79,38.58,18.47,1.36,11399,28391,7859,2144,46193,22108,1629,75.79,160652,121764,0.98,0.01,0.69,1189,7,845
CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",Alianza Frente para la Victoria,13.76,21.4,3.65,3.12,37.82,18.87,1.38,7200,11202,1910,1634,19795,9879,724,76.6,69833,53490,1,0.01,1.14,535,3,608
CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",Alianza Frente para la Victoria,2.61,6.72,2.12,0.62,57.57,29.95,0.41,63,162,51,15,1388,722,10,66.54,3682,2450,1.55,0,0.04,38,0,1
CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",Alianza Frente para la Victoria,13.4,20.97,5.54,2.43,36.36,19.98,1.32,9120,14272,3770,1657,24743,13594,895,78.09,88731,69294,0.97,0.01,0.81,675,6,562
CORDOBA_TOTORAL,"Totoral, Cordoba",Alianza Frente para la Victoria,10.5,15.71,5.11,1.39,42.54,22.83,1.91,1009,1510,491,134,4088,2194,184,71.45,13719,9802,1.21,0.05,0.69,119,5,68
CORDOBA_TULUMBA,"Tulumba, Cordoba",Alianza Frente para la Victoria,5.07,11.61,3.21,0.91,60.99,17.49,0.71,344,787,218,62,4136,1186,48,63.55,10898,6926,1.53,0.01,0.55,106,1,38
CORDOBA_UNION,"Union, Cordoba",Alianza Frente para la Victoria,12.7,18.33,7.6,1.45,39.41,19.02,1.49,8016,11564,4798,913,24867,12003,943,77.7,82449,64059,1,0,0.49,642,2,311
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",Alianza Frente para la Victoria,2.67,4.7,3.27,0.76,74.8,12.49,1.32,496,874,608,142,13916,2324,245,76.75,24956,19154,2.59,0.04,0.24,496,7,46
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",Alianza Frente para la Victoria,1.98,2.87,3.21,0.34,83.47,7.65,0.48,29,42,47,5,1222,112,7,74.4,2000,1488,0.6,0,1.01,9,0,15
CORRIENTES_CAPITAL,"Capital, Corrientes",Alianza Frente para la Victoria,6.09,9.74,4.67,1.01,62.78,11.95,3.75,11091,17735,8512,1833,114313,21763,6830,78.77,241349,190102,2.91,0.08,1.23,5534,155,2336
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",Alianza Frente para la Victoria,1.61,2.93,2.07,0.45,83.3,8.84,0.8,152,276,195,42,7842,832,75,69.02,13964,9638,1.65,0.01,0.66,159,1,64
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",Alianza Frente para la Victoria,2.92,5.99,5.86,0.81,69.72,13.09,1.61,635,1302,1273,176,15142,2842,349,71.68,32041,22967,4.29,0.01,1.13,986,3,259
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",Alianza Frente para la Victoria,3.09,5.08,5.12,0.82,73.35,10.86,1.67,240,395,398,64,5699,844,130,72.33,10964,7930,1.2,0.04,0.78,95,3,62
CORRIENTES_ESQUINA,"Esquina, Corrientes",Alianza Frente para la Victoria,3.16,6.3,4.47,0.79,65.53,18.79,0.96,434,864,613,108,8990,2577,132,57.58,24154,13909,0.88,0.01,0.47,123,2,66
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",Alianza Frente para la Victoria,2.45,6.12,3.22,0.37,71.06,15.87,0.89,99,247,130,15,2866,640,36,68.65,5964,4094,0.98,0,0.51,40,0,21
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",Alianza Frente para la Victoria,2.51,4.99,5.85,0.48,70.51,14.58,1.08,213,423,496,41,5979,1236,92,71.01,12185,8653,1.4,0,0.6,121,0,52
CORRIENTES_GOYA,"Goya, Corrientes",Alianza Frente para la Victoria,2.53,7.19,4.4,1.04,72.34,10.53,1.98,1154,3284,2010,474,33045,4812,904,70.91,65643,46550,1.19,0.02,0.65,556,7,304
CORRIENTES_ITATI,"Itati, Corrientes",Alianza Frente para la Victoria,2.57,4.02,6.22,0.64,73.94,11.9,0.7,124,194,300,31,3567,574,34,70.39,6947,4890,0.7,0,0.65,34,0,32
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",Alianza Frente para la Victoria,3.76,6.22,3.95,0.79,69.78,14.53,0.97,600,993,631,126,11134,2318,154,72.69,22339,16239,0.83,0.02,0.89,135,4,144
CORRIENTES_LAVALLE,"Lavalle, Corrientes",Alianza Frente para la Victoria,1.25,3.13,2.91,0.48,74.2,17.27,0.76,173,434,403,66,10284,2394,105,74.51,19015,14169,1.48,0.04,0.68,209,5,96
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",Alianza Frente para la Victoria,2.13,3.73,2.8,0.37,74.42,15.87,0.67,114,200,150,20,3985,850,36,73.38,7433,5454,1.39,0,0.42,76,0,23
CORRIENTES_MERCEDES,"Mercedes, Corrientes",Alianza Frente para la Victoria,4.12,6.14,4.63,0.95,62.96,18.7,2.49,851,1269,957,196,13008,3864,515,70.7,29956,21180,1.73,0,0.73,366,0,154
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",Alianza Frente para la Victoria,3.21,9.23,6.71,1.03,63.58,14.93,1.32,606,1743,1268,194,12013,2821,249,73.14,26183,19149,1.06,0.01,0.27,203,1,51
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",Alianza Frente para la Victoria,3.83,6.92,4.8,0.83,69.55,12.74,1.32,991,1790,1241,215,17982,3294,340,73.32,35857,26291,0.89,0,0.77,234,1,203
CORRIENTES_SALADAS,"Saladas, Corrientes",Alianza Frente para la Victoria,1.93,4.76,4.35,0.46,78.39,9.17,0.95,207,510,466,49,8403,983,102,73.53,14986,11019,1.65,0.05,1.01,182,6,111
CORRIENTES_SAN COSME,"San Cosme, Corrientes",Alianza Frente para la Victoria,4.34,5.6,5.48,0.82,68.03,13.71,2.02,348,449,440,66,5459,1100,162,76.55,10675,8172,0.98,0.05,0.78,80,4,64
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",Alianza Frente para la Victoria,2.89,3.96,5.39,0.34,78.7,7.44,1.28,305,417,568,36,8297,784,135,76.94,13992,10766,1.37,0.02,0.7,147,2,75
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",Alianza Frente para la Victoria,2.22,4.75,5.6,0.61,70.6,15.11,1.11,130,278,328,36,4136,885,65,65.41,9206,6022,2.36,0.02,0.35,142,1,21
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",Alianza Frente para la Victoria,1.64,3.92,4.03,0.54,81.32,7.72,0.83,89,212,218,29,4401,418,45,73.05,7633,5576,2.46,0,0.48,137,0,27
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",Alianza Frente para la Victoria,1.37,3.25,4.4,0.6,73.61,16.13,0.64,133,316,428,58,7154,1568,62,70.53,14029,9895,1.25,0.05,0.47,124,5,47
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",Alianza Frente para la Victoria,3.14,5.8,5.12,0.73,67.71,13.39,4.12,828,1531,1353,192,17876,3534,1088,73.64,36884,27161,1.98,0.03,0.79,537,7,215
CORRIENTES_SAUCE,"Sauce, Corrientes",Alianza Frente para la Victoria,1.94,3.59,3.71,0.58,65.62,24,0.56,80,148,153,24,2707,990,23,62.81,6994,4393,5.67,0,0.43,249,0,19
ENTRE RIOS_,", Entre Rios",Alianza Frente para la Victoria,2.75,23.2,4.73,0.83,49.32,18.42,0.75,1423,12023,2453,431,25552,9543,388,82.32,69787,57450,9.21,0.09,0.51,5290,52,295
ENTRE RIOS_COLON,"Colon, Entre Rios",Alianza Frente para la Victoria,3.85,18.55,4.28,1.15,55.02,16.28,0.86,1265,6094,1405,379,18071,5347,283,81.55,44507,36296,8.73,0.07,0.71,3168,27,257
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",Alianza Frente para la Victoria,3.79,12.85,3.58,1.09,70.09,7.4,1.2,3202,10856,3021,918,59199,6254,1015,78.12,115950,90580,5.72,0.14,0.89,5180,129,806
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",Alianza Frente para la Victoria,3.09,24.37,4.66,0.88,47.12,19.18,0.69,786,6204,1187,225,11993,4883,176,79.21,35654,28241,9.11,0.22,0.54,2572,62,153
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",Alianza Frente para la Victoria,2.6,12.16,4.46,0.88,51.99,26.97,0.93,926,4328,1588,314,18508,9602,331,82.65,47487,39246,8.3,0.12,0.87,3258,48,343
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",Alianza Frente para la Victoria,1.52,5.94,1.83,0.52,58,31.77,0.42,210,820,253,72,8011,4388,58,77.01,18777,14460,3.82,0.24,0.42,552,35,61
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",Alianza Frente para la Victoria,1.36,6.18,4.38,0.74,63.36,23.48,0.52,87,395,280,47,4051,1501,33,67.69,10710,7250,9.99,0.15,1.67,724,11,121
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",Alianza Frente para la Victoria,4.97,16.14,4.48,1.23,59.26,12.62,1.31,1330,4318,1198,328,15856,3378,350,76.18,39606,30173,10.69,0.04,0.59,3225,13,177
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",Alianza Frente para la Victoria,6.38,22.89,5.88,1.42,51.87,10.35,1.2,4011,14393,3698,891,32609,6507,757,83.26,81338,67726,6.12,0.1,0.96,4145,67,648
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",Alianza Frente para la Victoria,2.73,5.82,1.84,0.95,63.73,24.6,0.32,178,379,120,62,4148,1601,21,81.71,8934,7300,8.3,1.86,0.67,606,136,49
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",Alianza Frente para la Victoria,2.48,12.14,3.23,0.72,61.7,19.07,0.65,820,4010,1067,238,20373,6298,213,73.92,48559,35895,6.88,0.12,1.01,2471,42,363
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",Alianza Frente para la Victoria,3.09,18.66,5.78,0.85,52.78,18.06,0.78,647,3904,1210,178,11046,3779,163,80.77,29240,23617,10.85,0.1,0.44,2563,23,104
ENTRE RIOS_PARANA,"Parana, Entre Rios",Alianza Frente para la Victoria,5.27,31.26,3.72,0.97,47.28,10.54,0.95,7015,41577,4949,1293,62876,14014,1267,79.12,183992,145574,7.41,0.16,1.08,10783,235,1565
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",Alianza Frente para la Victoria,2.6,14.35,8.04,0.89,56.51,16.77,0.84,225,1241,695,77,4886,1450,73,82.65,12920,10679,18.12,0.5,0.41,1935,53,44
ENTRE RIOS_TALA,"Tala, Entre Rios",Alianza Frente para la Victoria,3.75,14.9,5.63,0.84,54.53,19.66,0.68,559,2221,840,125,8131,2932,102,79.85,20340,16242,7.64,0.04,0.52,1241,7,84
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",Alianza Frente para la Victoria,5.52,23.04,5.24,1.55,51.59,11.48,1.58,2925,12204,2778,822,27328,6079,836,80.77,73707,59530,9.82,0.22,0.98,5844,131,583
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",Alianza Frente para la Victoria,2.96,26.37,3.61,0.81,50,15.51,0.74,567,5057,693,156,9590,2974,142,79.37,27057,21476,9.69,0.42,0.58,2081,91,125
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",Alianza Frente para la Victoria,3.17,14.93,4.69,1.31,58.89,15.61,1.4,743,3501,1101,308,13812,3661,329,71.24,35667,25409,6.66,0.19,0.84,1692,49,213
FORMOSA_BERMEJO,"Bermejo, Formosa",Alianza Frente para la Victoria,0.38,0.73,0.25,1.04,86.45,10.87,0.28,15,29,10,41,3421,430,11,62.5,6413,4008,1.1,0.1,0.07,44,4,3
FORMOSA_FORMOSA,"Formosa, Formosa",Alianza Frente para la Victoria,1.42,4.16,3.16,0.76,71.21,18.31,0.98,1522,4454,3388,817,76265,19611,1047,75.13,154610,116160,6.72,0.13,0.95,7808,147,1101
FORMOSA_LAISHI,"Laishi, Formosa",Alianza Frente para la Victoria,0.59,1.31,1.51,0.08,88.68,7.54,0.28,56,124,143,8,8409,715,27,77.38,12708,9833,2.87,0.42,0.28,282,41,28
FORMOSA_MATACOS,"Matacos, Formosa",Alianza Frente para la Victoria,0.4,1.77,0.56,0,92.74,4.52,0,5,22,7,0,1150,56,0,55.6,2277,1266,1.66,0.39,0,21,5,0
FORMOSA_PATIÑO,"Patiño, Formosa",Alianza Frente para la Victoria,0.31,1.64,0.55,0.17,85.65,10.77,0.91,95,497,168,52,26025,3273,276,69.42,45790,31789,3.99,0.15,0.28,1267,48,88
FORMOSA_PILAGAS,"Pilagas, Formosa",Alianza Frente para la Victoria,0.16,0.4,0.49,0.19,91.28,7.34,0.15,14,35,43,17,8035,646,13,71.31,12724,9073,2.45,0.31,0.22,222,28,20
FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",Alianza Frente para la Victoria,0.4,1.25,0.85,0.21,86.53,10.48,0.28,161,499,338,85,34578,4187,112,74.44,56135,41789,3.83,0.12,0.43,1599,51,179
FORMOSA_PIRANE,"Pirane, Formosa",Alianza Frente para la Victoria,0.7,2.31,1.27,0.51,75.35,18.06,1.79,215,711,390,158,23158,5550,551,73.52,43712,32137,3.81,0.18,0.37,1226,58,120
FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",Alianza Frente para la Victoria,0.61,0.35,0.18,0.7,81.21,16.77,0.18,7,4,2,8,925,191,2,42.48,3105,1319,13.42,0.08,0.15,177,1,2
JUJUY_COCHINOCA,"Cochinoca, Jujuy",Alianza Frente para la Victoria,1.34,4.93,0.56,0.8,68.34,22.83,1.2,74,271,31,44,3760,1256,66,78.07,7507,5861,5.03,0.29,0.8,295,17,47
JUJUY_EL CARMEN,"El Carmen, Jujuy",Alianza Frente para la Victoria,3.02,5.79,3.99,1.4,70.95,13.92,0.94,1219,2335,1612,563,28630,5617,379,80.28,54345,43629,6.51,0.25,0.74,2839,110,325
JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",Alianza Frente para la Victoria,5.18,12.54,2.21,3.03,51.25,24.25,1.54,6485,15701,2763,3800,64181,30367,1932,78.97,171815,135675,6.34,0.13,1.22,8605,183,1658
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",Alianza Frente para la Victoria,2.28,5.14,1,1.3,67.48,21.5,1.3,164,369,72,93,4845,1544,93,72.8,11340,8255,11.71,0.19,1.11,967,16,92
JUJUY_LEDESMA,"Ledesma, Jujuy",Alianza Frente para la Victoria,2.92,4.49,0.81,1.52,75.6,13.77,0.88,1029,1585,286,538,26678,4860,311,76.21,50015,38114,5.74,0.83,0.84,2187,318,322
JUJUY_PALPALA,"Palpala, Jujuy",Alianza Frente para la Victoria,3.28,7.93,1.78,2.23,67.12,16.51,1.16,826,1998,449,561,16920,4161,293,81.8,33186,27147,6.28,0.05,0.81,1706,13,220
JUJUY_RINCONADA,"Rinconada, Jujuy",Alianza Frente para la Victoria,0.53,2.35,1.17,0.21,84.65,10.55,0.53,5,22,11,2,794,99,5,68.29,1441,984,4.57,0,0.1,45,0,1
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",Alianza Frente para la Victoria,2.11,4.14,1.12,0.65,67.96,23.37,0.65,49,96,26,15,1576,542,15,81.02,3050,2471,5.18,0.69,0.28,128,17,7
JUJUY_SAN PEDRO,"San Pedro, Jujuy",Alianza Frente para la Victoria,2.95,5.3,1.34,1.22,73.89,14.55,0.75,1009,1813,460,417,25279,4977,258,76.87,49073,37723,8.45,0.15,0.71,3186,58,266
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",Alianza Frente para la Victoria,0.77,1.68,0.83,0.35,86.79,9.07,0.51,67,146,72,30,7520,786,44,77.38,11665,9026,3.27,0.41,0.32,295,37,29
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",Alianza Frente para la Victoria,0.44,0.95,0.32,0.44,87.61,9.85,0.38,7,15,5,7,1379,155,6,70.95,2313,1641,3.47,0.3,0.3,57,5,5
JUJUY_SUSQUES,"Susques, Jujuy",Alianza Frente para la Victoria,0.66,2.3,0.39,0.66,73.21,21.92,0.86,10,35,6,10,1112,333,13,75.94,2107,1600,3.56,0.81,0.69,57,13,11
JUJUY_TILCARA,"Tilcara, Jujuy",Alianza Frente para la Victoria,1.65,5.14,1.77,0.99,64.28,25.42,0.74,98,305,105,59,3813,1508,44,82.25,7897,6495,8.19,0.09,0.38,532,6,25
JUJUY_TUMBAYA,"Tumbaya, Jujuy",Alianza Frente para la Victoria,1.29,5.99,1.26,0.96,65.98,23.89,0.63,39,181,38,29,1994,722,19,82.15,3939,3236,5.84,0.12,0.65,189,4,21
JUJUY_YAVI,"Yavi, Jujuy",Alianza Frente para la Victoria,1.68,3.71,1.03,0.57,79.92,12.24,0.86,151,333,92,51,7171,1098,77,72.99,13711,10007,9.41,0.08,0.84,942,8,84
LA PAMPA_ATREUCO,"Atreuco, La Pampa",Alianza Frente para la Victoria,5.54,10.11,5.9,0.73,55.22,21.65,0.86,355,648,378,47,3540,1388,55,88.25,8508,7508,14.21,0.03,0.37,1067,2,28
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",Alianza Frente para la Victoria,2.71,6.36,1.96,1.5,80.36,6.83,0.28,29,68,21,16,859,73,3,83.7,1436,1202,10.4,0.25,0.42,125,3,5
LA PAMPA_CAPITAL,"Capital, La Pampa",Alianza Frente para la Victoria,7.64,15.86,3.14,1.49,59.61,10.87,1.38,4446,9226,1826,868,34683,6325,805,78.76,82017,64598,8.76,0.05,1.12,5662,32,725
LA PAMPA_CATRILO,"Catrilo, La Pampa",Alianza Frente para la Victoria,7.97,8.07,4.72,0.56,61.91,15.77,0.99,329,333,195,23,2555,651,41,83.8,5598,4691,10.89,0,1.13,511,0,53
LA PAMPA_CHALILEO,"Chalileo, La Pampa",Alianza Frente para la Victoria,5.77,4.09,4.53,0.31,71.73,12.65,0.93,93,66,73,5,1157,204,15,87.56,2186,1914,15.36,0,0.37,294,0,7
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",Alianza Frente para la Victoria,13.53,13.96,5.19,0.59,51.69,13.81,1.23,913,942,350,40,3488,932,83,81.84,9416,7706,10.46,0.03,1.95,806,2,150
LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",Alianza Frente para la Victoria,3.46,5.51,1.1,0.47,84.09,4.57,0.79,22,35,7,3,534,29,5,64.48,1053,679,5.3,0.88,0.29,36,6,2
LA PAMPA_CONHELO,"Conhelo, La Pampa",Alianza Frente para la Victoria,5.66,12.33,3.76,0.91,62.84,13.77,0.72,508,1106,337,82,5639,1236,65,84.14,12119,10197,11.68,0,0.32,1191,0,33
LA PAMPA_CURACO,"Curaco, La Pampa",Alianza Frente para la Victoria,1.28,2.75,2.01,2.01,81.5,10.44,0,7,15,11,11,445,57,0,78.18,747,584,6.51,0,0,38,0,0
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",Alianza Frente para la Victoria,7.12,16.29,5.83,1.1,47.14,21,1.54,343,785,281,53,2272,1012,74,79.83,6984,5575,13,0,0.54,725,0,30
LA PAMPA_HUCAL,"Hucal, La Pampa",Alianza Frente para la Victoria,7.16,11.32,5.02,1.1,55.99,18.33,1.08,331,523,232,51,2588,847,50,83.38,6438,5368,13.41,0,0.48,720,0,26
LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",Alianza Frente para la Victoria,6.52,5.8,2.17,0,63.77,21.74,0,9,8,3,0,88,30,0,88.46,208,184,25,0,0,46,0,0
LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",Alianza Frente para la Victoria,2.31,3.85,1.15,0,79.62,12.69,0.38,6,10,3,0,207,33,1,66.27,421,279,6.81,0,0,19,0,0
LA PAMPA_LOVENTUE,"Loventue, La Pampa",Alianza Frente para la Victoria,6.56,9.6,1.67,0.39,67.19,14.08,0.51,335,490,85,20,3430,719,26,86.34,6763,5839,12.26,0,0.31,716,0,18
LA PAMPA_MARACO,"Maraco, La Pampa",Alianza Frente para la Victoria,11.99,15.87,4.33,1.57,53.9,10.59,1.74,3743,4954,1352,489,16822,3306,542,79.67,44125,35156,9.99,0.16,1.08,3512,55,381
LA PAMPA_PUELEN,"Puelen, La Pampa",Alianza Frente para la Victoria,3.45,7.63,1.27,0.82,79.95,6.25,0.62,122,270,45,29,2828,221,22,88,5984,5266,32.34,0.08,0.42,1703,4,22
LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",Alianza Frente para la Victoria,7.29,13.03,5.28,1.14,51.23,20.53,1.5,344,615,249,54,2418,969,71,82.92,6475,5369,11.62,0,0.47,624,0,25
LA PAMPA_RANCUL,"Rancul, La Pampa",Alianza Frente para la Victoria,7.11,9.97,3.34,0.56,57.23,21.35,0.43,430,603,202,34,3460,1291,26,84.99,8021,6817,11.02,0.04,0.25,751,3,17
LA PAMPA_REALICO,"Realico, La Pampa",Alianza Frente para la Victoria,12.24,15,4.12,0.61,52.18,14.84,1.01,1176,1442,396,59,5015,1426,97,84.09,12693,10673,9.37,0,0.58,1000,0,62
LA PAMPA_TOAY,"Toay, La Pampa",Alianza Frente para la Victoria,6.94,10.16,3.89,1.38,64.4,12.04,1.19,398,582,223,79,3691,690,68,78.03,8132,6345,8.64,0.03,1.01,548,2,64
LA PAMPA_TRENEL,"Trenel, La Pampa",Alianza Frente para la Victoria,7.52,14.65,3.97,0.66,59.73,12.9,0.57,250,487,132,22,1986,429,19,85.05,4375,3721,10.24,0,0.4,381,0,15
LA PAMPA_UTRACAN,"Utracan, La Pampa",Alianza Frente para la Victoria,9.18,9.78,3.32,1.58,55.86,19.32,0.95,722,769,261,124,4391,1519,75,77.5,12083,9364,15.41,0.05,0.59,1443,5,55
LA RIOJA_ARAUCO,"Arauco, La Rioja",Alianza Frente para la Victoria,10.57,4.33,2.98,0.97,68.01,12.36,0.78,652,267,184,60,4194,762,48,67.11,10308,6918,7.4,2.11,1.34,512,146,93
LA RIOJA_CAPITAL,"Capital, La Rioja",Alianza Frente para la Victoria,24.9,7.56,2.36,1.96,45.69,16.43,1.11,19665,5971,1861,1545,36085,12975,880,76.84,119124,91539,12.41,0.13,1.17,11362,123,1072
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",Alianza Frente para la Victoria,9.95,4.69,1.97,0.23,68.33,14.04,0.79,263,124,52,6,1806,371,21,80.04,3797,3039,12.77,0.07,0.2,388,2,6
LA RIOJA_CHAMICAL,"Chamical, La Rioja",Alianza Frente para la Victoria,18.79,7.11,1.24,0.61,52.22,19.6,0.43,1261,477,83,41,3504,1315,29,72.13,10410,7509,8.96,0.61,1.07,673,46,80
LA RIOJA_CHILECITO,"Chilecito, La Rioja",Alianza Frente para la Victoria,21.84,5.61,1.63,1.35,44.16,24.54,0.87,4558,1170,340,281,9216,5121,182,76.18,31224,23787,11.36,0.09,0.82,2703,22,194
LA RIOJA_FAMATINA,"Famatina, La Rioja",Alianza Frente para la Victoria,14.58,4.76,1.01,1.2,52.5,25.11,0.82,460,150,32,38,1656,792,26,78.4,4704,3688,12.64,1.08,0.76,466,40,28
LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",Alianza Frente para la Victoria,9.11,4.08,1.73,0.96,64.34,18.97,0.81,438,196,83,46,3093,912,39,74.99,7769,5826,16.86,0,0.64,982,0,37
LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",Alianza Frente para la Victoria,13.79,1.34,1.12,0.37,57.68,25.11,0.6,185,18,15,5,774,337,8,69.92,2294,1604,15.77,0,0.56,253,0,9
LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",Alianza Frente para la Victoria,19.98,4.15,1.48,0.6,53.94,19.27,0.6,703,146,52,21,1898,678,21,70.16,5483,3847,7.54,0,0.99,290,0,38
LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",Alianza Frente para la Victoria,9.23,1.76,0.93,1.04,65.15,21.27,0.62,89,17,9,10,628,205,6,70.58,1574,1111,13.05,0.09,0.09,145,1,1
LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",Alianza Frente para la Victoria,11.89,3.19,0.72,0.56,75.54,7.71,0.4,447,120,27,21,2841,290,15,71.14,5720,4069,7.15,0.05,0.37,291,2,15
LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",Alianza Frente para la Victoria,15.72,3.54,1.45,0.3,63.49,15.21,0.3,369,83,34,7,1490,357,7,73.95,3647,2697,12.05,0,0.93,325,0,25
