id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
CHACO_QUITILIPI,"Quitilipi, Chaco",ALIANZA FRENTE PARA LA VICTORIA,26.47,0.7,0.96,54.11,0.41,1.43,13.64,0.49,0.15,0.34,1.31,4404,116,159,9003,68,238,2270,81,25,57,218,63.94,26773,17119,2.27,0.29,0.25,388,49,43
CHACO_SAN FERNANDO,"San Fernando, Chaco",ALIANZA FRENTE PARA LA VICTORIA,27.61,0.82,3.02,48.45,0.51,2.06,15.68,0.57,0.27,0.32,0.69,64743,1913,7089,113618,1198,4830,36778,1331,635,755,1616,75.54,321425,242813,2.32,0.14,0.97,5622,328,2357
CHACO_SAN LORENZO,"San Lorenzo, Chaco",ALIANZA FRENTE PARA LA VICTORIA,23.3,0.29,0.92,67.46,0.32,0.81,5.93,0.53,0.06,0.19,0.19,1977,25,78,5724,27,69,503,45,5,16,16,69.74,12377,8632,1.42,0.02,0.25,123,2,22
CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",ALIANZA FRENTE PARA LA VICTORIA,17.97,0.59,1.31,65.56,0.36,0.93,10.84,0.49,0.06,0.18,1.73,1940,64,141,7078,39,100,1170,53,6,19,187,78.18,14064,10995,1.59,0.03,0.18,175,3,20
CHACO_TAPENAGA,"Tapenaga, Chaco",ALIANZA FRENTE PARA LA VICTORIA,18.19,0.37,0.79,69.14,1.05,0.68,7.94,1,0.26,0.16,0.42,346,7,15,1315,20,13,151,19,5,3,8,66.98,2962,1984,3.48,0.15,0.5,69,3,10
CHUBUT_BIEDMA,"Biedma, Chubut",ALIANZA FRENTE PARA LA VICTORIA,21.33,1.28,2.35,49.86,0.58,3.52,18.27,0.95,0.32,0.63,0.91,7592,455,838,17749,207,1252,6503,339,113,224,323,72.77,64104,46647,21.34,0.27,2.09,9953,124,975
CHUBUT_CUSHAMEN,"Cushamen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,17.34,0.65,2.97,60.09,0.7,2.4,13.88,0.8,0.16,0.71,0.31,1818,68,311,6301,73,252,1455,84,17,74,33,69.35,20938,14521,25.78,0.12,1.89,3743,17,275
CHUBUT_ESCALANTE,"Escalante, Chubut",ALIANZA FRENTE PARA LA VICTORIA,22.91,1.39,2.35,46.52,1.4,3.48,18.61,1,0.45,1.11,0.78,20665,1254,2119,41963,1266,3139,16790,905,402,998,706,69.51,148380,103140,9.72,0.19,2.63,10026,199,2708
CHUBUT_FLORENTINO AMEGHINO,"F. Ameghino, Chubut",ALIANZA FRENTE PARA LA VICTORIA,8.42,0.13,0.53,69.61,0,2.89,17.37,0.26,0.13,0.26,0.39,64,1,4,529,0,22,132,2,1,2,3,82.87,1343,1113,30.55,0.63,0.54,340,7,6
CHUBUT_FUTALEUFU,"Futaleufu, Chubut",ALIANZA FRENTE PARA LA VICTORIA,26.44,0.87,2.28,43.75,0.61,2.6,20.07,0.64,0.33,1.55,0.86,5252,173,453,8689,121,516,3986,127,65,308,171,68.94,36911,25446,20.21,0.16,1.58,5142,40,403
CHUBUT_GAIMAN,"Gaiman, Chubut",ALIANZA FRENTE PARA LA VICTORIA,27.34,0.95,2.02,44.26,0.33,1.52,21.78,0.41,0.12,0.91,0.37,1407,49,104,2278,17,78,1121,21,6,47,19,75.93,9077,6892,24.46,0.03,0.83,1686,2,57
CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",ALIANZA FRENTE PARA LA VICTORIA,16.83,0.14,0.56,67.32,0.07,0.35,13.38,0.21,0.28,0.14,0.7,239,2,8,956,1,5,190,3,4,2,10,76.7,2506,1922,19.98,0.31,5.83,384,6,112
CHUBUT_MARTIRES,"Martires, Chubut",ALIANZA FRENTE PARA LA VICTORIA,6.15,0.62,0.92,74.15,0.31,0.31,17.54,0,0,0,0,20,2,3,241,1,1,57,0,0,0,0,55.87,605,338,1.18,1.78,0.89,4,6,3
CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",ALIANZA FRENTE PARA LA VICTORIA,24.03,0.65,1.46,52.11,0,0.16,20.29,0.49,0.16,0.32,0.32,148,4,9,321,0,1,125,3,1,2,2,79.43,1536,1220,48.11,0.66,0.74,587,8,9
CHUBUT_RAWSON,"Rawson, Chubut",ALIANZA FRENTE PARA LA VICTORIA,25.38,1.3,2.46,42.91,0.81,2.66,21.12,0.89,0.5,1.33,0.65,13801,707,1335,23332,438,1444,11483,483,272,721,352,69.63,106407,74088,24.48,0.14,2,18135,105,1480
CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",ALIANZA FRENTE PARA LA VICTORIA,13.92,0.48,1.03,68.06,0.44,0.84,13.84,0.32,0.16,0.2,0.72,350,12,26,1711,11,21,348,8,4,5,18,57.38,4974,2854,10.93,0.18,0.81,312,5,23
CHUBUT_SARMIENTO,"Sarmiento, Chubut",ALIANZA FRENTE PARA LA VICTORIA,20.44,1.05,1.03,51.96,0.84,1.91,20.24,0.62,0.43,1.01,0.47,953,49,48,2423,39,89,944,29,20,47,22,59.69,9242,5517,13.41,0.2,1.87,740,11,103
CHUBUT_TEHUELCHES,"Tehuelches, Chubut",ALIANZA FRENTE PARA LA VICTORIA,19.57,0.45,0.45,64.65,0.13,0.27,13.64,0.31,0.13,0.13,0.27,439,10,10,1450,3,6,306,7,3,3,6,56.85,4572,2599,11.12,1.5,1.08,289,39,28
CHUBUT_TELSEN,"Telsen, Chubut",ALIANZA FRENTE PARA LA VICTORIA,25.46,0.26,0.26,57.48,0,0,15.22,0,0.52,0,0.79,97,1,1,219,0,0,58,0,2,0,3,41.6,940,391,1.53,0.51,0.51,6,2,2
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,50.31,1.25,4.21,25.05,0.61,5.13,11.68,0.6,0.1,0.59,0.46,57271,1419,4795,28511,695,5843,13298,679,116,676,527,66.28,176412,116930,1.83,0.07,0.76,2136,78,886
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,43.78,1.57,4.89,23.89,0.52,7.01,16.74,0.57,0.14,0.74,0.16,47733,1713,5327,26042,563,7640,18255,618,157,809,173,76.26,147254,112296,2.07,0.06,0.78,2326,68,872
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,47.79,1.27,4.65,21.92,0.61,7.59,14.79,0.5,0.1,0.6,0.19,61208,1624,5957,28070,782,9718,18943,635,129,768,249,76.98,171040,131659,1.87,0.06,0.78,2468,76,1032
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,50.57,1.17,4.79,21.45,0.53,7.32,12.91,0.52,0.08,0.52,0.15,71150,1642,6739,30182,742,10295,18166,727,114,733,207,77.81,185837,144594,1.91,0.06,0.72,2768,84,1045
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,61.62,0.72,3.92,15.3,0.47,7.77,9.21,0.4,0.07,0.39,0.14,95919,1118,6095,23821,734,12092,14343,618,103,600,224,74.2,214295,159006,1.45,0.07,0.58,2300,118,921
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,61.37,0.74,3.68,16.6,0.42,7.44,8.79,0.39,0.06,0.37,0.14,90429,1092,5420,24461,617,10963,12958,573,84,551,211,71.99,209165,150572,1.44,0.05,0.64,2170,77,966
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,43.4,1.17,5.76,25.46,0.74,8.17,13.7,0.61,0.1,0.68,0.21,50901,1370,6755,29859,873,9579,16069,719,116,798,252,73.85,164115,121194,2.18,0.07,0.97,2638,85,1180
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,67.55,0.71,2.95,13.42,0.37,5.93,8.29,0.26,0.05,0.32,0.14,67110,702,2928,13337,368,5895,8236,261,51,321,141,70.36,143690,101102,1.17,0.05,0.51,1184,51,517
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,44.37,1.23,5.12,26.24,0.66,6.09,14.63,0.63,0.11,0.66,0.25,48183,1341,5558,28501,712,6616,15886,688,121,717,274,69.18,161796,111926,2.01,0.06,0.91,2252,62,1015
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,41.55,1.41,4.65,30.88,0.67,4.61,14.46,0.64,0.2,0.64,0.28,51775,1756,5794,38481,841,5745,18024,794,243,802,355,72.59,176885,128403,1.99,0.07,0.9,2552,89,1152
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,43.54,1.25,5.62,25.46,0.74,7.93,13.8,0.64,0.1,0.71,0.2,49617,1425,6410,29016,847,9041,15721,730,112,813,229,74.22,158099,117345,2.02,0.05,0.81,2375,63,946
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,48.95,0.99,5.08,21.21,0.75,8.84,12.74,0.55,0.07,0.67,0.14,58321,1184,6055,25276,896,10530,15174,653,88,798,171,76.27,160501,122422,1.95,0.04,0.69,2392,44,840
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,44.07,1.27,4.88,25.22,0.6,6.85,15.5,0.57,0.1,0.62,0.32,54526,1576,6040,31198,737,8476,19183,708,119,767,392,73.92,172293,127358,2.04,0.04,0.78,2595,52,989
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,36.06,1.57,3.67,34.91,0.57,3.41,18.33,0.58,0.14,0.48,0.29,34204,1489,3479,33106,541,3231,17382,548,135,452,275,72.29,135195,97730,2.03,0.08,0.84,1983,81,824
CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",ALIANZA CAMBIEMOS,40.45,1.75,4.43,27.36,0.42,5.69,18.36,0.56,0.11,0.62,0.23,43555,1888,4775,29464,455,6125,19772,601,120,668,248,76.14,145315,110638,1.79,0.03,0.86,1981,37,949
CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),28.01,3.72,2.56,17.47,0.46,2.25,44.13,0.34,0.29,0.4,0.37,9414,1250,861,5872,156,756,14833,113,98,134,126,72.34,47908,34659,1.73,0.08,1.2,601,28,417
CORDOBA_CAPITAL,"Capital, Cordoba",ALIANZA CAMBIEMOS,39.52,2.92,5.85,12.74,0.52,2.69,33.51,0.53,0.4,0.85,0.47,293977,21756,43556,94747,3877,20019,249318,3927,2950,6349,3472,71.67,1077585,772358,1.95,0.22,1.51,15085,1666,11659
CORDOBA_COLON,"Colon, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),36.87,2.41,4.1,12.11,0.55,2.24,39.98,0.46,0.3,0.54,0.46,52220,3407,5803,17151,772,3169,56630,650,419,764,645,70.75,206619,146173,1.69,0.05,1.37,2466,68,2009
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),22.27,1.46,2.07,25.67,0.56,1.3,45.23,0.32,0.34,0.25,0.52,5899,387,549,6800,149,345,11979,84,90,65,139,58.68,46817,27470,1.33,1.41,0.84,366,387,231
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",ALIANZA CAMBIEMOS,37.68,6.14,0.93,18.35,0.47,1.55,33.73,0.22,0.25,0.14,0.55,7359,1200,182,3584,91,303,6587,42,48,28,107,70.31,28262,19870,1.21,0.06,0.44,241,11,87
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",ALIANZA CAMBIEMOS,34.17,2.61,2.02,28.82,0.54,2.83,27.79,0.32,0.2,0.33,0.37,26372,2013,1558,22244,418,2181,21447,244,157,255,289,71.28,110996,79118,1.26,0.32,0.87,993,257,690
CORDOBA_ISCHILIN,"Ischilin, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.77,2.63,1.86,18.36,0.81,1.75,49.16,0.25,0.33,0.63,0.45,3924,434,307,3032,133,289,8116,42,54,104,75,63.87,26772,17098,1.63,0.96,0.85,278,164,146
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),31.49,4.09,1.61,15.2,0.38,1.88,44.18,0.26,0.22,0.24,0.46,11713,1520,599,5653,140,698,16433,96,82,91,171,74.45,51117,38059,1.36,0.01,0.9,516,3,344
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),35.43,2.27,1.5,15.84,0.3,2.21,41.53,0.24,0.15,0.13,0.39,21441,1376,909,9585,182,1336,25134,145,92,81,234,71.09,86819,61717,1.43,0.03,0.49,880,21,301
CORDOBA_MINAS,"Minas, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),16.75,1.64,1.11,23.72,0.1,1.01,54.54,0.13,0.13,0.4,0.47,500,49,33,708,3,30,1628,4,4,12,14,63.22,4992,3156,1.49,3.42,0.51,47,108,16
CORDOBA_POCHO,"Pocho, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.82,2,1.27,23.51,0.15,0.92,47.33,0.23,0.23,0.19,0.35,620,52,33,612,4,24,1232,6,6,5,9,57.29,4617,2645,1.06,0.08,0.45,28,2,12
CORDOBA_PUNILLA,"Punilla, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),34.29,2.7,3.46,14.81,0.47,2.52,40.05,0.45,0.29,0.48,0.47,36717,2889,3708,15862,506,2700,42887,479,314,515,501,69.38,158812,110181,1.39,0.06,1.36,1534,69,1500
CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),27.09,4.86,1.63,12.64,0.39,2.1,50.42,0.23,0.17,0.19,0.28,40976,7347,2468,19121,597,3171,76251,354,250,282,418,74,209278,154861,1.2,0.11,1.03,1852,172,1602
CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",ALIANZA CAMBIEMOS,41.4,1.69,1.73,11.61,0.4,1.06,41.05,0.19,0.24,0.26,0.38,10846,442,452,3040,105,277,10753,51,62,67,100,67.61,39710,26847,1.49,0.35,0.59,399,94,159
CORDOBA_RIO SECO,"Rio Seco, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.31,1.72,1.32,24.07,0.27,1.04,44.09,0.24,0.28,0.25,0.41,1777,116,89,1626,18,70,2978,16,19,17,28,59.59,12288,7323,1.98,5.34,0.45,145,391,33
CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),38.99,2.17,2.06,13.03,0.47,1.93,39.9,0.33,0.28,0.3,0.55,23887,1329,1259,7982,289,1181,24440,204,170,181,338,72.15,87665,63247,1.88,0.12,1.14,1187,78,722
CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),36.74,5.09,1.49,12.56,0.28,1.37,41.17,0.28,0.22,0.25,0.55,8088,1120,327,2764,62,302,9063,62,48,55,121,74.25,30223,22440,1.24,0.01,0.66,278,3,147
CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.61,4.82,2.57,17.92,0.39,1.5,46.94,0.37,0.2,0.24,0.44,5269,1032,550,3837,83,321,10047,80,42,51,94,68.86,32050,22070,1.49,0.49,1.02,329,109,226
CORDOBA_SAN JAVIER,"San Javier, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.66,5.89,2.38,28.17,0.47,1.55,36.62,0.36,0.23,0.26,0.42,7404,1842,744,8814,147,484,11458,113,72,82,132,70.29,45673,32104,1.55,0.05,0.93,498,17,297
CORDOBA_SAN JUSTO,"San Justo, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),35.71,2.2,1.8,11.83,0.39,2.13,44.81,0.34,0.2,0.24,0.35,37692,2320,1897,12487,415,2250,47298,360,207,255,370,61.75,175027,108072,1.35,0.19,0.79,1455,207,859
CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),31.33,2.63,3.17,12.24,0.58,2.3,45.86,0.47,0.36,0.59,0.46,19385,1625,1963,7570,359,1420,28373,293,224,368,287,73.95,86218,63762,1.66,0.05,1.26,1056,35,804
CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),25.43,0.7,1.19,13.88,0.4,0.75,56.87,0.13,0.18,0.18,0.31,579,16,27,316,9,17,1295,3,4,4,7,59.15,3914,2315,1.12,0.04,0.48,26,1,11
CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),31.51,2.74,2.03,14.14,0.42,2.01,46.02,0.3,0.21,0.25,0.35,22054,1914,1422,9893,296,1408,32207,213,150,178,245,74.49,96332,71757,1.45,0.16,0.87,1041,113,623
CORDOBA_TOTORAL,"Totoral, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),35.58,1.98,1.61,21.31,0.42,1.19,36.78,0.26,0.24,0.35,0.29,3888,216,176,2328,46,130,4019,28,26,38,32,70.26,16023,11258,1.52,0.72,0.7,171,81,79
CORDOBA_TULUMBA,"Tulumba, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),26.12,1,1.43,25.37,0.3,0.82,43.6,0.23,0.21,0.21,0.7,1823,70,100,1771,21,57,3043,16,15,15,49,62.68,11936,7482,1.2,4.91,0.6,90,367,45
CORDOBA_UNION,"Union, Cordoba",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),34.86,2.5,1.39,20.07,0.32,2.42,37.28,0.27,0.21,0.23,0.45,21384,1531,855,12312,194,1486,22872,164,130,140,278,69.7,90046,62760,1.49,0.17,0.59,936,109,369
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,22.55,0.37,0.72,56.63,0.06,0.72,17.92,0.3,0.16,0.21,0.37,4880,80,155,12254,14,156,3877,64,34,45,81,75.08,29769,22350,2.44,0.04,0.7,546,8,156
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,31.46,0.11,0.22,60.12,0.11,0.16,6.85,0.32,0.22,0,0.43,583,2,4,1114,2,3,127,6,4,0,8,86.16,2269,1955,0.46,0,4.76,9,0,93
CORRIENTES_CAPITAL,"Capital, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.84,0.61,1.25,43.55,0.29,1.62,18.25,0.47,0.29,0.39,0.44,68296,1268,2606,90586,596,3376,37967,969,600,809,923,76.29,283564,216318,2.36,0.1,1.39,5097,209,3016
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,19.77,0.44,0.68,63.85,0.23,0.59,13.5,0.37,0.14,0.07,0.37,2125,47,73,6864,25,63,1451,40,15,8,40,67.83,16182,10976,1.58,0,0.47,173,0,52
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.32,0.57,0.72,51.65,0.2,0.89,15.1,0.45,0.33,0.2,0.57,7369,144,181,12978,50,223,3794,114,82,50,144,71.95,36002,25904,2.14,0.03,0.83,554,7,214
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.05,0.49,0.89,47.37,0.12,0.56,17.25,0.42,0.32,0.18,0.34,2959,45,82,4374,11,52,1593,39,30,17,31,74.62,12722,9493,1.78,0,0.96,169,0,91
CORRIENTES_ESQUINA,"Esquina, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,30.22,0.55,0.76,52.47,0.26,1.29,13.32,0.27,0.31,0.19,0.38,5210,94,131,9047,44,222,2296,46,54,32,65,64.23,27501,17663,1.75,0.04,0.6,309,7,106
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,17.78,0.35,0.13,55.68,0.15,0.53,24.93,0.13,0.15,0,0.15,808,16,6,2530,7,24,1133,6,7,0,7,68.11,6837,4657,1.61,0.02,0.79,75,1,37
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.82,0.4,0.84,49.67,0.24,0.5,17.42,0.39,0.2,0.11,0.41,2703,36,76,4502,22,45,1579,35,18,10,37,69.85,13318,9303,2.03,0,0.55,189,0,51
CORRIENTES_GOYA,"Goya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.82,0.28,0.61,61.05,0.11,0.72,11.5,0.26,0.16,0.18,0.31,12747,145,312,31355,56,371,5905,136,80,90,161,72.58,72622,52711,1.72,0.01,0.84,906,5,442
CORRIENTES_ITATI,"Itati, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,23.54,0.42,0.67,62.69,0.12,0.49,11.34,0.23,0.12,0.18,0.21,1345,24,38,3582,7,28,648,13,7,10,12,68.9,8449,5821,1.19,0.02,0.64,69,1,37
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,26.79,0.6,1.03,52.39,0.19,0.85,17.02,0.31,0.27,0.28,0.28,5088,114,195,9949,36,161,3233,58,51,53,53,73.38,26579,19503,1.65,0,0.98,321,0,191
CORRIENTES_LAVALLE,"Lavalle, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,25.29,0.3,0.43,66.23,0.14,0.33,6.12,0.2,0.23,0.3,0.45,3920,46,66,10265,21,51,948,31,35,47,69,74.6,21186,15804,1.44,0.01,0.48,228,1,76
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.41,0.25,0.41,54.92,0.18,0.31,13.87,0.26,0.08,0.11,0.2,1798,15,25,3358,11,19,848,16,5,7,12,74.68,8445,6307,2.82,0.02,0.22,178,1,14
CORRIENTES_MERCEDES,"Mercedes, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,35.33,0.4,0.66,47.62,0.15,0.68,13.59,0.39,0.34,0.21,0.64,8405,95,158,11329,35,161,3232,92,80,51,152,72.62,33976,24675,2.74,0.02,0.83,675,4,206
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,34.79,0.6,0.84,42.76,0.18,0.93,18.48,0.43,0.26,0.22,0.53,6874,118,166,8449,36,183,3652,84,51,43,104,69.11,29236,20206,1.78,0.01,0.42,360,2,84
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,27.74,1.1,0.98,49.71,0.3,0.85,17.45,0.45,0.25,0.3,0.86,7571,300,268,13568,81,233,4764,123,69,83,236,68.99,40742,28107,2.04,0.01,0.84,573,3,235
CORRIENTES_SALADAS,"Saladas, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.1,0.41,0.73,59.78,0.17,0.5,13.34,0.31,0.22,0.14,0.29,3056,52,92,7580,22,64,1692,39,28,18,37,74.23,17512,12999,1.7,0.04,0.72,221,5,93
CORRIENTES_SAN COSME,"San Cosme, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,38.68,0.54,0.85,41.76,0.12,1.17,15.37,0.51,0.28,0.26,0.47,3875,54,85,4184,12,117,1540,51,28,26,47,73.33,13989,10258,1.62,0,0.71,166,0,73
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,21.7,0.31,0.62,57.79,0.1,0.59,17.91,0.14,0.3,0.2,0.32,2570,37,74,6845,12,70,2122,17,36,24,38,78.65,15502,12193,2.2,0.04,0.62,268,5,75
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,28.9,0.64,0.42,54.16,0.28,0.7,13.54,0.39,0.24,0.25,0.46,1928,43,28,3613,19,47,903,26,16,17,31,64.8,10542,6831,2.2,0,0.15,150,0,10
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,22.9,0.48,0.8,64.26,1.13,0.45,9.11,0.23,0.24,0.1,0.31,1423,30,50,3993,70,28,566,14,15,6,19,72.88,8707,6346,1.67,0,0.41,106,0,26
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.43,0.31,0.63,64.83,0.2,0.28,8.39,0.22,0.29,0.13,0.27,2669,34,69,7083,22,31,917,24,32,14,30,69.19,16121,11154,1.59,0,0.47,177,0,52
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,26.9,1.04,1.47,46.89,0.28,0.88,20.16,0.73,0.52,0.18,0.94,8706,335,477,15178,92,285,6525,236,169,59,304,70.68,47451,33538,2.43,0.02,1.04,816,7,349
CORRIENTES_SAUCE,"Sauce, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.33,0.22,0.24,53.24,0.08,0.24,12.88,0.16,0.18,0.06,0.38,1631,11,12,2686,4,12,650,8,9,3,19,68.87,7485,5155,1.61,0.04,0.48,83,2,25
