,id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,JUNTOS POR EL CAMBIO_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,JUNTOS POR EL CAMBIO_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
244,CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",FRENTE DE TODOS,1.21,0.45,64.69,0.9,32.06,0.68,62,23,3313,46,1642,35,80.28,6471,5195,0.64,0.12,0.67,33,6,35
245,CORRIENTES_MERCEDES,"Mercedes, Corrientes",FRENTE DE TODOS,2.64,0.77,54.83,1.3,39.75,0.7,662,194,13744,327,9963,175,80.63,31825,25662,1.42,0.18,0.72,365,46,186
246,CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",FRENTE DE TODOS,3.65,0.94,53.68,1.69,39.13,0.91,709,182,10425,329,7599,176,78.59,25003,19651,0.59,0.06,0.53,115,11,105
247,CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",FRENTE DE TODOS,2.44,0.74,58.05,2.75,35.22,0.8,670,204,15952,755,9678,219,76.06,36809,27996,1.06,0.06,0.72,298,18,202
248,CORRIENTES_SALADAS,"Saladas, Corrientes",FRENTE DE TODOS,2.32,0.58,63.16,1.56,31.71,0.68,287,72,7818,193,3925,84,81.59,15461,12614,0.96,0.07,0.83,121,9,105
249,CORRIENTES_SAN COSME,"San Cosme, Corrientes",JUNTOS POR EL CAMBIO,2.44,0.7,40.48,1.34,54.21,0.83,296,85,4903,162,6566,100,80.43,15241,12259,0.33,0.08,0.78,41,10,96
250,CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",FRENTE DE TODOS,1.83,0.71,58.46,1.37,36.79,0.84,227,88,7271,171,4576,104,83.17,15329,12749,1.3,0.53,0.62,166,67,79
251,CORRIENTES_SAN MARTIN,"San Martin, Corrientes",FRENTE DE TODOS,1.32,0.55,54.06,1.16,42.39,0.52,104,43,4244,91,3328,41,75.66,10534,7970,1.19,0.03,0.28,95,2,22
252,CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",FRENTE DE TODOS,1.2,0.53,72.42,1.37,24.1,0.39,93,41,5618,106,1870,30,83.33,9458,7881,0.88,0.08,0.61,69,6,48
253,CORRIENTES_SAN ROQUE,"San Roque, Corrientes",FRENTE DE TODOS,1.36,0.5,68.1,0.58,29.04,0.43,162,59,8105,69,3456,51,80.11,15089,12088,0.89,0.12,0.54,107,14,65
254,CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",FRENTE DE TODOS,2.84,0.77,52.11,2.02,41.38,0.89,966,262,17736,686,14086,302,80.25,43294,34745,0.94,0.12,0.97,328,43,336
255,CORRIENTES_SAUCE,"Sauce, Corrientes",FRENTE DE TODOS,2.29,0.42,61.34,1.36,34,0.58,114,21,3058,68,1695,29,73.79,6872,5071,0.59,0.26,0.85,30,13,43
256,ENTRE RIOS_COLON,"Colon, Entre Rios",JUNTOS POR EL CAMBIO,6.81,1.86,43.05,1.77,44.8,1.71,2950,805,18652,766,19409,741,79.27,55508,44000,0.6,0.02,0.91,265,10,402
257,ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",FRENTE DE TODOS,4.65,1.55,52.29,2.04,37.99,1.48,5276,1765,59363,2315,43122,1680,81.42,141631,115320,0.67,0.04,0.86,770,43,986
258,ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",JUNTOS POR EL CAMBIO,6.7,1.25,37.91,1.2,50.96,1.97,2134,399,12082,383,16242,629,77.93,41576,32399,0.66,0.03,0.94,215,9,306
259,ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",JUNTOS POR EL CAMBIO,4.41,1.17,43.22,1.93,47.74,1.52,2166,577,21240,949,23460,749,82.82,60324,49959,0.83,0.05,0.76,414,25,379
260,ENTRE RIOS_FEDERAL,"Federal, Entre Rios",FRENTE DE TODOS,3.22,0.93,58.68,1.19,34.86,1.13,605,174,11035,224,6555,212,80.68,23700,19121,0.99,0.02,0.64,189,4,123
261,ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",FRENTE DE TODOS,3.18,0.8,60.23,1.24,34.05,0.51,323,81,6125,126,3463,52,78.67,13134,10332,0.79,0.06,0.72,82,6,74
262,ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",JUNTOS POR EL CAMBIO,6.25,1.6,41.83,1.71,47.17,1.44,2245,575,15027,615,16947,518,79.74,45772,36499,0.84,0.08,0.65,306,28,238
263,ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",JUNTOS POR EL CAMBIO,6.67,1.76,39.76,1.62,48.54,1.65,5374,1420,32016,1303,39087,1331,83.64,97748,81757,0.65,0.03,0.82,531,23,672
264,ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",FRENTE DE TODOS,4.66,1.67,55.02,1.8,35.98,0.87,430,154,5075,166,3319,80,80.02,11701,9363,0.72,0,0.77,67,0,72
265,ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",FRENTE DE TODOS,4.26,1,55.76,1.8,36.13,1.05,1909,450,25004,808,16203,469,78.77,57806,45536,0.69,0.1,0.73,316,44,333
266,ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",FRENTE DE TODOS,7.23,1.5,44.64,1.09,44.26,1.28,1938,401,11958,291,11858,343,80.34,33824,27173,0.84,0.03,0.54,229,8,147
267,ENTRE RIOS_PARANA,"Parana, Entre Rios",JUNTOS POR EL CAMBIO,7.65,1.91,39.92,1.7,46.85,1.97,18816,4692,98142,4170,115159,4843,82.06,305554,250733,0.85,0.06,1.06,2122,140,2649
268,ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",JUNTOS POR EL CAMBIO,4.45,0.86,43.96,1.48,48.21,1.04,588,114,5808,196,6370,137,82.69,16335,13507,1.49,0.01,0.67,201,2,91
269,ENTRE RIOS_TALA,"Tala, Entre Rios",FRENTE DE TODOS,6.25,1.43,45.26,1.5,44.18,1.38,1164,267,8427,280,8226,257,78.62,24126,18969,0.91,0.05,0.87,173,10,165
270,ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",JUNTOS POR EL CAMBIO,6.78,2.32,41.68,1.54,46.11,1.58,4665,1595,28701,1058,31748,1087,80.95,86427,69964,0.66,0.04,0.89,463,25,622
271,ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",JUNTOS POR EL CAMBIO,7.89,1.51,42.83,0.95,45.42,1.41,1935,370,10509,234,11145,346,79.63,31209,24853,0.58,0.02,0.66,145,5,164
272,ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",FRENTE DE TODOS,5.13,1.63,47.59,1.92,42.36,1.38,1594,507,14797,596,13173,428,77.78,40709,31662,0.87,0.06,0.86,275,19,273
273,FORMOSA_BERMEJO,"Bermejo, Formosa",FRENTE DE TODOS,1.19,0.35,77.82,0.9,19.29,0.45,106,31,6927,80,1717,40,72.62,12394,9000,0.8,0.13,0.17,72,12,15
274,FORMOSA_FORMOSA,"Formosa, Formosa",FRENTE DE TODOS,4.8,1.32,55.53,2.02,35.2,1.14,7332,2011,84899,3091,53818,1737,79.93,194852,155739,0.89,0.11,0.82,1393,175,1283
275,FORMOSA_LAISHI,"Laishi, Formosa",FRENTE DE TODOS,2.42,0.55,72.66,0.97,22.98,0.42,314,72,9441,126,2986,54,80.81,16324,13192,0.75,0.26,0.5,99,34,66
276,FORMOSA_MATACOS,"Matacos, Formosa",FRENTE DE TODOS,1.63,0.5,77.85,1.27,18.21,0.54,147,45,7035,115,1646,49,73.03,12548,9164,0.67,0.26,0.46,61,24,42
277,FORMOSA_PATIÑO,"Patiño, Formosa",FRENTE DE TODOS,1.64,0.72,72.42,1.17,23.69,0.35,742,328,32833,532,10742,158,75.32,60925,45888,0.59,0.17,0.44,273,77,203
278,FORMOSA_PILAGAS,"Pilagas, Formosa",FRENTE DE TODOS,1.45,0.51,78.4,1.19,17.98,0.47,181,63,9762,148,2239,58,78.33,16056,12577,0.45,0.09,0.47,56,11,59
279,FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",FRENTE DE TODOS,1.97,0.56,73.06,0.87,22.89,0.65,1080,305,39987,474,12528,357,76.93,72152,55505,0.62,0.16,0.62,342,87,345
280,FORMOSA_PIRANE,"Pirane, Formosa",FRENTE DE TODOS,2.23,0.7,68.93,1.96,25.51,0.66,921,288,28408,808,10515,272,77.41,54012,41811,0.76,0.07,0.6,317,31,251
281,FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",FRENTE DE TODOS,0.76,0.3,72.74,0.52,25.5,0.18,60,24,5733,41,2010,14,74.62,10665,7958,0.63,0.23,0.1,50,18,8
282,JUJUY_COCHINOCA,"Cochinoca, Jujuy",FRENTE DE TODOS,6.48,2.96,56.61,3.98,28.2,1.78,518,237,4528,318,2256,142,77.99,10514,8200,0.96,0.07,1.41,79,6,116
283,JUJUY_EL CARMEN,"El Carmen, Jujuy",FRENTE DE TODOS,6.18,1.91,46.26,3,41,1.65,3880,1201,29040,1884,25739,1033,84.26,75748,63824,0.63,0.07,0.94,401,47,599
284,JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",JUNTOS POR EL CAMBIO,6.38,2.11,37.33,2.27,49.57,2.34,11013,3633,64416,3919,85528,4036,81.88,214719,175803,0.69,0.05,1.1,1221,96,1941
285,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",FRENTE DE TODOS,7.42,3.75,57.84,2.73,26.41,1.85,814,411,6343,299,2896,203,78.21,14415,11274,1.21,0.06,1.46,136,7,165
286,JUJUY_LEDESMA,"Ledesma, Jujuy",FRENTE DE TODOS,4.84,1.87,56.14,1.78,34.14,1.23,2508,971,29104,924,17701,636,81.13,65266,52948,0.97,0.05,1.07,512,27,565
287,JUJUY_PALPALA,"Palpala, Jujuy",FRENTE DE TODOS,7.81,2.56,42.64,2.62,41.57,2.8,2813,921,15356,943,14968,1010,84.05,43625,36668,0.7,0.04,1.06,257,13,387
288,JUJUY_RINCONADA,"Rinconada, Jujuy",FRENTE DE TODOS,4.65,1.33,62.05,2.47,28.46,1.04,49,14,654,26,300,11,70.14,1544,1083,1.48,0,1.2,16,0,13
289,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",JUNTOS POR EL CAMBIO,5.5,1.37,40.61,2.83,48.31,1.37,192,48,1419,99,1688,48,81.24,4403,3577,0.95,0.2,1.17,34,7,42
290,JUJUY_SAN PEDRO,"San Pedro, Jujuy",FRENTE DE TODOS,5,1.76,54.63,1.93,35.15,1.53,2552,899,27913,986,17956,784,82.46,63114,52042,0.87,0.04,0.92,455,19,478
291,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",FRENTE DE TODOS,3.21,0.99,60.31,1.82,33.14,0.53,368,113,6904,208,3794,61,81.74,14215,11619,0.64,0.04,0.79,74,5,92
292,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",FRENTE DE TODOS,2.83,1.12,66.33,2.24,26.25,1.23,53,21,1243,42,492,23,73.39,2634,1933,2.07,0,0.98,40,0,19
293,JUJUY_SUSQUES,"Susques, Jujuy",FRENTE DE TODOS,4.59,5.2,53.28,1.88,33.93,1.14,105,119,1220,43,777,26,75.06,3144,2360,1.23,0.21,1.53,29,5,36
294,JUJUY_TILCARA,"Tilcara, Jujuy",FRENTE DE TODOS,4.99,2.04,57.26,2.74,31.4,1.57,412,168,4726,226,2592,130,81.14,10421,8456,1.08,0.09,1.22,91,8,103
295,JUJUY_TUMBAYA,"Tumbaya, Jujuy",FRENTE DE TODOS,4.78,1.49,50.69,1.1,40.9,1.04,170,53,1801,39,1453,37,83,4342,3604,0.75,0.03,0.64,27,1,23
296,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",JUNTOS POR EL CAMBIO,0.49,0.16,37.6,0,61.59,0.16,3,1,232,0,380,1,75.55,822,621,0.48,0,0.16,3,0,1
297,JUJUY_YAVI,"Yavi, Jujuy",FRENTE DE TODOS,6.79,2.5,58.27,3.04,27.2,2.2,853,314,7321,382,3417,277,73.73,17531,12925,1.32,0.02,1.45,171,3,187
298,LA PAMPA_ATREUCO,"Atreuco, La Pampa",FRENTE DE TODOS,6.1,1.45,46.84,1.06,43.17,1.39,467,111,3584,81,3303,106,83.37,9318,7768,0.71,0.03,0.76,55,2,59
299,LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",FRENTE DE TODOS,4.96,1.15,66.11,1.45,24.58,1.76,65,15,866,19,322,23,81.31,1632,1327,0.45,0,0.83,6,0,11
300,LA PAMPA_CAPITAL,"Capital, La Pampa",FRENTE DE TODOS,6.83,2.48,54.27,1.8,32.84,1.79,4944,1793,39292,1300,23781,1294,80.98,90939,73645,0.65,0.07,0.97,477,53,711
301,LA PAMPA_CATRILO,"Catrilo, La Pampa",FRENTE DE TODOS,5.85,1.98,51.21,1.34,38.97,0.65,296,100,2590,68,1971,33,82.35,6221,5123,0.41,0.02,0.84,21,1,43
302,LA PAMPA_CHALILEO,"Chalileo, La Pampa",FRENTE DE TODOS,6.79,2.69,59.07,2.96,27.02,1.48,101,40,879,44,402,22,79.93,1883,1505,0.27,0.33,0.53,4,5,8
303,LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",FRENTE DE TODOS,5.44,1.24,47.48,2.1,42.78,0.96,442,101,3858,171,3476,78,82.52,9979,8235,0.5,0.06,0.77,41,5,63
304,LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",FRENTE DE TODOS,6.41,2.97,61.44,5.26,22.2,1.72,67,31,642,55,232,18,79.25,1340,1062,1.13,0.19,0.28,12,2,3
305,LA PAMPA_CONHELO,"Conhelo, La Pampa",FRENTE DE TODOS,6.23,1.46,52.21,1.48,37.12,1.51,633,148,5306,150,3773,153,81.52,12614,10283,0.53,0.03,0.6,55,3,62
306,LA PAMPA_CURACO,"Curaco, La Pampa",FRENTE DE TODOS,6.3,2,68.05,2.61,20.43,0.61,41,13,443,17,133,4,78.29,843,660,1.06,0,0.3,7,0,2
307,LA PAMPA_GUATRACHE,"Guatrache, La Pampa",JUNTOS POR EL CAMBIO,6.44,1.58,36,1.48,52.84,1.65,382,94,2136,88,3135,98,75.75,7941,6015,0.88,0.03,0.45,53,2,27
308,LA PAMPA_HUCAL,"Hucal, La Pampa",JUNTOS POR EL CAMBIO,7.88,1.63,39.46,0.91,48.5,1.61,425,88,2127,49,2614,87,80.67,6778,5468,0.48,0.07,0.88,26,4,48
309,LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",FRENTE DE TODOS,7.89,2.63,47.89,1.58,39.47,0.53,15,5,91,3,75,1,78.4,250,196,0,2.04,1.02,0,4,2
310,LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",FRENTE DE TODOS,4.23,1.21,52.87,0.91,40.79,0,14,4,175,3,135,0,77.47,435,337,0.89,0.89,0,3,3,0
311,LA PAMPA_LOVENTUE,"Loventue, La Pampa",FRENTE DE TODOS,5.13,1.89,58.82,1.45,31.84,0.86,309,114,3541,87,1917,52,81.21,7531,6116,0.62,0.08,0.87,38,5,53
312,LA PAMPA_MARACO,"Maraco, La Pampa",FRENTE DE TODOS,7.21,2.23,44.69,2.91,41.13,1.82,2964,917,18369,1198,16907,749,82.57,50740,41896,0.56,0.05,1.28,235,21,536
313,LA PAMPA_PUELEN,"Puelen, La Pampa",FRENTE DE TODOS,8.09,2.42,54.85,4.86,28.63,1.15,535,160,3626,321,1893,76,79.99,8417,6733,0.62,0.03,1.16,42,2,78
314,LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",JUNTOS POR EL CAMBIO,6.58,2.52,42.84,1.72,45.1,1.23,368,141,2395,96,2521,69,82.07,6932,5689,0.93,0.02,0.79,53,1,45
315,LA PAMPA_RANCUL,"Rancul, La Pampa",FRENTE DE TODOS,4.96,1.21,52.64,1.31,39.12,0.76,366,89,3885,97,2887,56,80.32,9339,7501,0.68,0.05,0.88,51,4,66
316,LA PAMPA_REALICO,"Realico, La Pampa",FRENTE DE TODOS,5.98,1.29,45.18,2.15,44.32,1.08,701,151,5294,252,5193,127,81.75,14562,11905,0.67,0.05,0.85,80,6,101
317,LA PAMPA_TOAY,"Toay, La Pampa",FRENTE DE TODOS,6.46,2.05,54.88,1.55,33.87,1.18,682,216,5793,164,3575,125,81.67,13129,10722,0.73,0.11,0.72,78,12,77
318,LA PAMPA_TRENEL,"Trenel, La Pampa",FRENTE DE TODOS,5.41,1.05,55.84,2.33,33.85,1.51,211,41,2179,91,1321,59,82.1,4820,3957,0.94,0.05,0.4,37,2,16
319,LA PAMPA_UTRACAN,"Utracan, La Pampa",FRENTE DE TODOS,6.66,2.08,44.16,1.72,43.78,1.59,662,207,4390,171,4352,158,80.03,12636,10112,0.68,0.02,1,69,2,101
320,LA RIOJA_ARAUCO,"Arauco, La Rioja",FRENTE DE TODOS,2.45,0.45,59.47,0.89,36,0.74,165,30,4009,60,2427,50,79.47,12039,9567,27.65,0.04,1.85,2645,4,177
321,LA RIOJA_CAPITAL,"Capital, La Rioja",JUNTOS POR EL CAMBIO,5.14,1.38,38.84,1.38,51.08,2.19,4733,1273,35790,1271,47076,2015,76.5,149735,114546,18.4,0.19,0.96,21074,217,1097
322,LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",FRENTE DE TODOS,3.57,0.67,59.29,0.64,34.68,1.15,112,21,1860,20,1088,36,85.18,4425,3769,16.26,0.13,0.37,613,5,14
323,LA RIOJA_CHAMICAL,"Chamical, La Rioja",FRENTE DE TODOS,3.96,0.79,50.91,1.19,42.14,1.01,270,54,3472,81,2874,69,74.97,11911,8930,22.64,0.04,0.94,2022,4,84
324,LA RIOJA_CHILECITO,"Chilecito, La Rioja",JUNTOS POR EL CAMBIO,4.93,1.31,42.22,1.27,49.38,0.9,1138,302,9754,293,11409,208,77.03,40296,31041,24.46,0.02,1.09,7593,6,338
325,LA RIOJA_FAMATINA,"Famatina, La Rioja",FRENTE DE TODOS,4.61,0.7,54.96,0.73,37.87,1.12,157,24,1872,25,1290,38,83.17,5366,4463,23.37,0,0.31,1043,0,14
326,LA RIOJA_CORONEL FELIPE VARELA,"Felipe Varela, La Rioja",FRENTE DE TODOS,3.08,0.81,65.33,0.44,29.78,0.57,183,48,3885,26,1771,34,78.63,8777,6901,13.27,0.03,0.52,916,2,36
327,LA RIOJA_GENERAL ANGEL V. PEÑALOZA,"General Angel V. Peñaloza, La Rioja",FRENTE DE TODOS,1.95,0.06,71.06,0.49,25.59,0.85,32,1,1169,8,421,14,81.12,2489,2019,17.98,0.05,0.5,363,1,10
328,LA RIOJA_GENERAL BELGRANO,"General Belgrano, La Rioja",FRENTE DE TODOS,2.46,0.58,50.27,1.34,44.95,0.41,97,23,1985,53,1775,16,73.15,6882,5034,21.2,0,0.36,1067,0,18
329,LA RIOJA_GENERAL LAMADRID,"General Lamadrid, La Rioja",FRENTE DE TODOS,1.9,0.47,69.67,0.63,26.15,1.18,24,6,882,8,331,15,91.58,1722,1577,14.65,0,5.07,231,0,80
330,LA RIOJA_GENERAL OCAMPO,"General Ocampo, La Rioja",FRENTE DE TODOS,1.56,0.07,78.29,0.37,19.19,0.53,68,3,3423,16,839,23,80.59,6351,5118,13.93,0.08,0.57,713,4,29
331,LA RIOJA_GENERAL SAN MARTIN,"General San Martin, La Rioja",FRENTE DE TODOS,2.04,0.43,60.35,0.3,36.73,0.13,61,13,1804,9,1098,4,83.78,3939,3300,8.79,0,0.64,290,0,21
332,LA RIOJA_INDEPENDENCIA,"Independencia, La Rioja",FRENTE DE TODOS,1.95,0.46,72.93,0.33,24.27,0.07,30,7,1121,5,373,1,87.75,2335,2049,24.84,0,0.15,509,0,3
333,LA RIOJA_GENERAL JUAN F. QUIROGA,"Juan Facundo Quiroga, La Rioja",FRENTE DE TODOS,2.35,0.41,70.07,0.9,25.99,0.27,52,9,1550,20,575,6,78.49,3514,2758,19.58,0,0.22,540,0,6
334,LA RIOJA_ROSARIO VERA PEÑALOZA,"Rosario Vera Peñaloza, La Rioja",FRENTE DE TODOS,2.96,1.06,72.44,1.19,21.2,1.15,240,86,5866,96,1717,93,77.03,12424,9570,14.98,0.01,0.39,1434,1,37
335,LA RIOJA_SAN BLAS DE LOS SAUCES,"San Blas De Los Sauces, La Rioja",FRENTE DE TODOS,1.27,0.37,65.67,0.16,32.04,0.49,31,9,1607,4,784,12,83.99,3316,2785,11.74,0,0.39,327,0,11
336,LA RIOJA_SANAGASTA,"Sanagasta, La Rioja",FRENTE DE TODOS,3.66,0.89,66.29,0.25,27.57,1.34,74,18,1339,5,557,27,88.81,2860,2540,19.76,0,0.71,502,0,18
337,LA RIOJA_VINCHINA,"Vinchina, La Rioja",FRENTE DE TODOS,2.04,0.43,70.25,0.68,26.3,0.31,33,7,1138,11,426,5,76.1,2469,1879,11.34,2.29,0.16,213,43,3
338,MENDOZA_CAPITAL,"Capital, Mendoza",JUNTOS POR EL CAMBIO,5.05,2.1,28.13,0.95,62.5,1.27,3916,1630,21818,738,48467,984,79.51,99335,78980,0.7,0.07,1.03,554,56,817
339,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",FRENTE DE TODOS,5.83,1.4,46.2,6.21,38.82,1.55,1730,414,13711,1842,11519,459,80.71,37333,30132,0.75,0.07,0.69,226,22,209
340,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",JUNTOS POR EL CAMBIO,6.37,2.44,30.95,1.1,57.81,1.34,7881,3016,38303,1360,71555,1659,81.23,155433,126252,0.68,0.05,1.24,860,58,1560
341,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",JUNTOS POR EL CAMBIO,6.49,2.41,33.5,1.42,54.92,1.26,11701,4343,60416,2563,99042,2272,81.94,224628,184053,0.56,0.06,1.4,1030,103,2583
342,MENDOZA_JUNIN,"Junin, Mendoza",JUNTOS POR EL CAMBIO,7.14,2.48,37.42,1.29,50.49,1.17,2021,702,10590,366,14289,331,84.71,34255,29017,0.79,0.12,1.56,229,36,453
343,MENDOZA_LA PAZ,"La Paz, Mendoza",FRENTE DE TODOS,4.21,1.2,51.86,1.08,40.98,0.68,309,88,3809,79,3010,50,86.21,8667,7472,1.03,0.01,0.66,77,1,49
344,MENDOZA_LAS HERAS,"Las Heras, Mendoza",JUNTOS POR EL CAMBIO,7,2.56,40.36,1.82,47.06,1.2,8770,3208,50593,2281,58993,1502,82.04,156340,128258,0.7,0.1,1.48,892,123,1896
345,MENDOZA_LAVALLE,"Lavalle, Mendoza",FRENTE DE TODOS,6.48,2.52,54.86,1.76,33.58,0.79,1722,670,14575,468,8920,211,84.2,32122,27046,0.77,0.03,0.98,207,7,266
346,MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",JUNTOS POR EL CAMBIO,6.66,2.49,32.55,1.28,55.93,1.09,5771,2160,28226,1110,48494,948,84.69,104598,88588,0.68,0.05,1.4,601,42,1236
347,MENDOZA_MAIPU,"Maipu, Mendoza",JUNTOS POR EL CAMBIO,7.43,2.36,38.83,1.31,48.82,1.25,8683,2760,45358,1527,57033,1457,84.23,142208,119784,0.83,0.05,1.6,990,59,1917
348,MENDOZA_MALARGÜE,"Malargüe, Mendoza",FRENTE DE TODOS,7.79,2.18,42.46,4.67,41.25,1.65,1340,374,7301,803,7092,284,78.84,22317,17594,0.96,0.06,1.25,169,11,220
349,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",JUNTOS POR EL CAMBIO,6.39,2.09,40.51,1.29,48.75,0.97,2295,750,14546,462,17505,348,83.81,43751,36668,0.92,0.04,1.12,337,14,411
350,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",JUNTOS POR EL CAMBIO,7.68,2.53,39.58,2.06,47.04,1.11,1649,544,8501,442,10104,239,84.54,25893,21889,0.74,0.12,1.01,162,26,222
351,MENDOZA_SAN MARTIN,"San Martin, Mendoza",JUNTOS POR EL CAMBIO,6.64,2.37,42.56,1.7,45.61,1.11,5095,1821,32644,1301,34984,853,82.73,94546,78217,0.65,0.05,1.24,512,36,971
352,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",FRENTE DE TODOS,6.75,1.63,42.94,4.57,42.54,1.58,7840,1893,49900,5312,49434,1837,81.33,146020,118760,0.87,0.04,1.23,1035,51,1458
353,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",FRENTE DE TODOS,5.56,1.68,59.56,1.18,31.13,0.89,628,190,6730,133,3518,101,85.22,13522,11524,1.26,0.1,0.58,145,12,67
354,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",JUNTOS POR EL CAMBIO,6.92,2.73,40.54,2.84,45.77,1.21,2249,887,13177,923,14876,392,83.05,39881,33122,0.74,0.04,1.09,246,12,360
355,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",FRENTE DE TODOS,7,2.88,43.7,3.47,41.76,1.2,1443,593,9008,715,8608,248,84.39,24894,21007,0.58,0.1,1.19,121,20,251
356,MISIONES_25 DE MAYO,"25 De Mayo, Misiones",FRENTE DE TODOS,1.5,0.44,75.5,3.81,18.11,0.65,257,75,12949,654,3106,111,79.55,22012,17511,1.87,0.06,0.11,328,11,20
357,MISIONES_APOSTOLES,"Apostoles, Misiones",FRENTE DE TODOS,3.25,0.83,54.9,2.87,37.07,1.09,865,221,14620,763,9872,289,81.81,33487,27396,1.56,0.15,1.09,427,41,298
358,MISIONES_CAINGUAS,"Cainguas, Misiones",FRENTE DE TODOS,2.64,0.68,68.94,3.82,23.09,0.84,905,234,23650,1309,7922,287,81.27,43457,35319,2.18,0.05,0.63,770,19,223
359,MISIONES_CANDELARIA,"Candelaria, Misiones",FRENTE DE TODOS,3.17,0.9,65.5,1.82,27.74,0.88,572,162,11817,328,5005,158,79.1,23404,18512,1.57,0.15,0.82,290,28,152
360,MISIONES_CAPITAL,"Capital, Misiones",JUNTOS POR EL CAMBIO,4.49,1.35,44.73,2.87,44.81,1.75,9695,2917,96536,6183,96694,3780,80.1,276803,221728,1.36,0.2,1.11,3014,440,2469
361,MISIONES_CONCEPCION,"Concepcion De La Sierra, Misiones",FRENTE DE TODOS,2.04,0.59,64.83,1.38,30.55,0.61,118,34,3748,80,1766,35,77.65,7646,5937,1.99,0.2,0.44,118,12,26
362,MISIONES_ELDORADO,"El Dorado, Misiones",FRENTE DE TODOS,3.48,1.38,60.4,3.05,30.5,1.18,1761,699,30594,1547,15449,599,79.99,64802,51832,1.43,0.07,0.79,739,35,409
363,MISIONES_GENERAL MANUEL BELGRANO,"General Manuel Belgrano, Misiones",FRENTE DE TODOS,1.7,0.45,73.05,2.72,21.55,0.54,399,105,17135,638,5055,126,77.08,31294,24120,1.75,0.37,0.62,422,90,150
364,MISIONES_GUARANI,"Guarani, Misiones",FRENTE DE TODOS,1.79,0.4,74.31,1.55,21.42,0.52,745,168,30878,645,8900,218,78.63,54350,42738,2.05,0.07,0.66,874,29,281
365,MISIONES_IGUAZU,"Iguazu, Misiones",FRENTE DE TODOS,3.56,1.22,58.19,2.6,33.18,1.24,1828,628,29846,1335,17021,634,77.27,68211,52704,1.51,0.06,1.12,794,29,589
